city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
北京,大望路,前端工程师,前端工程师-训练营,3-5年,本科,25,40,思维造物,D轮及以上,150-500人,工具类产品,在线教育; 教育、培训; 前端开发; Web前端; 移动端; Javascript,“六险一金、年度体检、氛围好、弹性工作”,https://www.lagou.com/jobs/8549949.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,中关村,前端工程师,前端开发工程师,3-5年,本科,25,35,途家民宿,D轮及以上,500-2000人,居住服务、旅游、出行,Javascript; Ajax,“上升空间、六险一金”,https://www.lagou.com/jobs/7942857.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/20/2021
北京,朝阳区,前端工程师,资深前端开发工程师,5-10年,本科,40,60,美团,上市公司,2000人以上,消费生活,Flutter; RN,“外卖技术团队 团队前端能力沉淀较深”,https://www.lagou.com/jobs/8071879.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,顺义区,前端工程师,web前端开发工程师,1-3年,本科,20,30,有大科技,A轮,50-150人,文娱丨内容,MCN、直播平台; 音频、视频媒体,“领导nice、远程办公、氛围超棒、10天年假”,https://www.lagou.com/jobs/8698916.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,中关村,前端工程师,前端开发工程师,3-5年,本科,20,35,途家民宿,D轮及以上,500-2000人,居住服务、旅游、出行,旅游、出行,“上升空间”,https://www.lagou.com/jobs/8671321.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/20/2021
北京,海淀区,前端工程师,web前端开发工程师,5-10年,本科,20,30,扬铭科技,天使轮,50-150人,智能硬件,Vue,“军工领域、人际关系简单、发展空间大”,https://www.lagou.com/jobs/8808575.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,大山子,前端工程师,前端技术专家,5-10年,本科,40,50,鲸鱼小班,B轮,500-2000人,在线教育,在线教育; 电商平台; 前端开发,“六险一金、带薪年假、年终奖”,https://www.lagou.com/jobs/8535950.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,五道口,前端工程师,web前端工程师,3-5年,本科,15,25,紫光教育,上市公司,150-500人,人工智能服务,Vue; CSS,“紫光股份内初创的教育板块、发展上升期公司”,https://www.lagou.com/jobs/8023128.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,web前端工程师,1-3年,大专,13,18,合力亿捷,上市公司,500-2000人,软件服务、咨询,移动端,“补充商保、定期体检、生日福利、发展前景等”,https://www.lagou.com/jobs/8714677.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,大山子,前端工程师,中/高级前端开发工程师,5-10年,本科,25,40,鲸鱼小班,B轮,500-2000人,在线教育,在线教育; Web前端; Vue; Javascript,“六险一金 双休 年终奖金 弹性工作 技术大牛”,https://www.lagou.com/jobs/8470843.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
