,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AMERICAN EXPRESS CO,COM,025816109,170891,1952142,SH,DFND,1952142,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
1,AMERICAN EXPRESS CO,COM,025816109,1507912,17225400,SH,DFND,17225400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
2,AMERICAN EXPRESS CO,COM,025816109,73519,839832,SH,DFND,839832,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
3,AMERICAN EXPRESS CO,COM,025816109,170099,1943100,SH,DFND,1943100,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
4,AMERICAN EXPRESS CO,COM,025816109,699850,7994634,SH,DFND,7994634,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
5,AMERICAN EXPRESS CO,COM,025816109,10527200,120255879,SH,DFND,120255879,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
6,AMERICAN EXPRESS CO,COM,025816109,122531,1399713,SH,DFND,1399713,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
7,BANK OF NEW YORK MELLON CORP,COM,064058100,287171,7414700,SH,DFND,7414700,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
8,BANK OF NEW YORK MELLON CORP,COM,064058100,69478,1793915,SH,DFND,1793915,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
9,BANK OF NEW YORK MELLON CORP,COM,064058100,308390,7962567,SH,DFND,7962567,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
10,BANK OF NEW YORK MELLON CORP,COM,064058100,21302,550021,SH,DFND,550021,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
11,BANK OF NEW YORK MELLON CORP,COM,064058100,219072,5656400,SH,DFND,5656400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
12,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,237078,1566215,SH,DFND,1566215,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
13,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,512218,3383881,SH,DFND,3383881,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
14,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,244888,4233151,SH,DFND,4233151,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
15,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,374171,6467959,SH,DFND,6467959,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
16,COCA COLA CO,COM,191216100,34128,800000,SH,DFND,800000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
17,COCA COLA CO,COM,191216100,3424881,80283200,SH,DFND,80283200,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
18,COCA COLA CO,COM,191216100,77812,1824000,SH,DFND,1824000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
19,COCA COLA CO,COM,191216100,614782,14411200,SH,DFND,14411200,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
20,COCA COLA CO,COM,191216100,779757,18278400,SH,DFND,18278400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
21,COCA COLA CO,COM,191216100,11940159,279891200,SH,DFND,279891200,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
22,COCA COLA CO,COM,191216100,151528,3552000,SH,DFND,3552000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
23,COCA COLA CO,COM,191216100,40954,960000,SH,DFND,960000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
24,CONOCOPHILLIPS,COM,20825C104,36117,471994,SH,DFND,471994,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
25,COSTCO WHSL CORP NEW,COM,22160K105,543057,4333363,SH,DFND,4333363,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
26,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1397535,19107670,SH,DFND,19107670,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
27,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1354076,18513482,SH,DFND,18513482,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
28,DIRECTV,COM,25490A309,530561,6132231,SH,DFND,6132231,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
29,DIRECTV,COM,25490A309,1427580,16500000,SH,DFND,16500000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
30,DIRECTV,COM,25490A309,599287,6926575,SH,DFND,6926575,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
31,DIRECTV,COM,25490A309,38172,441194,SH,DFND,441194,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
32,EXPRESS SCRIPTS HLDG CO,COM,30219G108,31747,449489,SH,DFND,449489,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
33,EXXON MOBIL CORP,COM,30231G102,997626,10607400,SH,DFND,10607400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
34,EXXON MOBIL CORP,COM,30231G102,259644,2760700,SH,DFND,2760700,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
35,EXXON MOBIL CORP,COM,30231G102,2610973,27761543,SH,DFND,27761543,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
36,GENERAL ELECTRIC CO,COM,369604103,15088,588900,SH,DFND,588900,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
37,GENERAL ELECTRIC CO,COM,369604103,13720,535532,SH,DFND,535532,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
38,GENERAL ELECTRIC CO,COM,369604103,128056,4998302,SH,DFND,4998302,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
39,GENERAL ELECTRIC CO,COM,369604103,915,35702,SH,DFND,35702,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
40,GENERAL ELECTRIC CO,COM,369604103,108848,4248556,SH,DFND,4248556,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
41,GENERAL ELECTRIC CO,COM,369604103,4573,178510,SH,DFND,178510,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
42,GENERAL MTRS CO,COM,37045V100,359486,11255056,SH,DFND,11255056,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
43,GENERAL MTRS CO,COM,37045V100,693258,21705000,SH,DFND,21705000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
44,GENERAL MTRS CO,COM,37045V100,185327,5802344,SH,DFND,5802344,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
45,GENERAL MTRS CO,COM,37045V100,39529,1237600,SH,DFND,1237600,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
46,GOLDMAN SACHS GROUP INC,COM,38141G104,306931,1672012,SH,DFND,1672012,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
47,GOLDMAN SACHS GROUP INC,COM,38141G104,803296,4375968,SH,DFND,4375968,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
48,GOLDMAN SACHS GROUP INC,COM,38141G104,1208542,6583551,SH,DFND,6583551,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
49,GRAHAM HLDGS CO,COM,384637104,33696,48165,SH,DFND,0,0,48165,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
50,GRAHAM HLDGS CO,COM,384637104,41563,59410,SH,DFND,0,0,59410,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
51,INTERNATIONAL BUSINESS MACHS,COM,459200101,16037,84480,SH,DFND,84480,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
52,INTERNATIONAL BUSINESS MACHS,COM,459200101,113440,597588,SH,DFND,597588,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
53,INTERNATIONAL BUSINESS MACHS,COM,459200101,90131,474800,SH,DFND,474800,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
54,INTERNATIONAL BUSINESS MACHS,COM,459200101,44249,233100,SH,DFND,233100,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
55,INTERNATIONAL BUSINESS MACHS,COM,459200101,13114983,69088044,SH,DFND,69088044,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
56,JOHNSON & JOHNSON,COM,478160104,34866,327100,SH,DFND,327100,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
57,KRAFT FOODS GROUP INC,COM,50076Q106,10866,192666,SH,DFND,192666,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
58,LEE ENTERPRISES INC,COM,523768109,300,88863,SH,DFND,88863,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
59,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,62388,1322340,SH,DFND,1322340,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
60,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,126332,2677660,SH,DFND,2677660,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
61,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,124274,2644680,SH,DFND,2644680,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
62,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,251646,5355320,SH,DFND,5355320,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
63,M & T BK CORP,COM,55261F104,67316,546000,SH,DFND,546000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
64,M & T BK CORP,COM,55261F104,20318,164795,SH,DFND,164795,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
65,M & T BK CORP,COM,55261F104,575918,4671245,SH,DFND,4671245,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
66,MASTERCARD INC,CL A,57636Q104,348562,4715400,SH,DFND,4715400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
67,MEDIA GEN INC,CL A,584404107,60912,4646220,SH,DFND,4235978,0,410242,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
68,MONDELEZ INTL INC,CL A,609207105,19805,578000,SH,DFND,578000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
69,MOODYS CORP,COM,615369105,1131536,11973928,SH,DFND,11973928,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
70,MOODYS CORP,COM,615369105,1199758,12695850,SH,DFND,12695850,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
71,NATIONAL OILWELL VARCO INC,COM,637071101,177555,2333178,SH,DFND,2333178,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
72,NATIONAL OILWELL VARCO INC,COM,637071101,308143,4049182,SH,DFND,4049182,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
73,NOW INC,COM,67011P100,20061,659694,SH,DFND,659694,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
74,NOW INC,COM,67011P100,35454,1165875,SH,DFND,1165875,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
75,PHILLIPS 66,COM,718546104,504317,6202400,SH,DFND,6202400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
76,PRECISION CASTPARTS CORP,COM,740189105,256783,1084021,SH,DFND,1084021,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
77,PRECISION CASTPARTS CORP,COM,740189105,236454,998201,SH,DFND,998201,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
78,PROCTER & GAMBLE CO,COM,742718109,26412,315400,SH,DFND,315400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
79,PROCTER & GAMBLE CO,COM,742718109,1698247,20280000,SH,DFND,20280000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
80,PROCTER & GAMBLE CO,COM,742718109,130634,1560000,SH,DFND,1560000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
81,PROCTER & GAMBLE CO,COM,742718109,522538,6240000,SH,DFND,6240000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
82,PROCTER & GAMBLE CO,COM,742718109,522538,6240000,SH,DFND,6240000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
83,PROCTER & GAMBLE CO,COM,742718109,1455207,17377678,SH,DFND,17377678,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
84,PROCTER & GAMBLE CO,COM,742718109,65317,780000,SH,DFND,780000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
85,SANOFI,SPONSORED ADR,80105N105,23780,421400,SH,DFND,421400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
86,SANOFI,SPONSORED ADR,80105N105,28765,509742,SH,DFND,509742,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
87,SANOFI,SPONSORED ADR,80105N105,9554,169300,SH,DFND,169300,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
88,SANOFI,SPONSORED ADR,80105N105,158311,2805433,SH,DFND,2805433,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
89,SUNCOR ENERGY INC NEW,COM,867224107,125019,3458330,SH,DFND,3458330,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
90,SUNCOR ENERGY INC NEW,COM,867224107,469950,13000000,SH,DFND,13000000,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
91,SUNCOR ENERGY INC NEW,COM,867224107,73001,2019400,SH,DFND,2019400,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
92,TORCHMARK CORP,COM,891027104,9138,174489,SH,DFND,174489,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
93,TORCHMARK CORP,COM,891027104,52993,1011888,SH,DFND,1011888,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
94,TORCHMARK CORP,COM,891027104,75377,1439325,SH,DFND,1439325,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
