,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AMAZON COM INC,COM,023135106,735158,423500,SH,DFND,423500,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
1,AMAZON COM INC,COM,023135106,197547,113800,SH,DFND,113800,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
2,AMERICAN AIRLS GROUP INC,COM,02376R102,559412,20742000,SH,DFND,20742000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
3,AMERICAN AIRLS GROUP INC,COM,02376R102,614993,22802854,SH,DFND,22802854,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
4,AMERICAN AIRLS GROUP INC,COM,02376R102,4184,155146,SH,DFND,155146,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
5,AMERICAN EXPRESS CO,COM,025816109,230899,1952142,SH,DFND,1952142,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
6,AMERICAN EXPRESS CO,COM,025816109,2037420,17225400,SH,DFND,17225400,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
7,AMERICAN EXPRESS CO,COM,025816109,99335,839832,SH,DFND,839832,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
8,AMERICAN EXPRESS CO,COM,025816109,243314,2057100,SH,DFND,2057100,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
9,AMERICAN EXPRESS CO,COM,025816109,945605,7994634,SH,DFND,7994634,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
10,AMERICAN EXPRESS CO,COM,025816109,14210381,120141879,SH,DFND,120141879,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
11,AMERICAN EXPRESS CO,COM,025816109,165558,1399713,SH,DFND,1399713,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
12,APPLE INC,COM,037833100,159019,710000,SH,DFND,710000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
13,APPLE INC,COM,037833100,215011,960000,SH,DFND,960000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
14,APPLE INC,COM,037833100,1358378,6065000,SH,DFND,6065000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
15,APPLE INC,COM,037833100,3954638,17657000,SH,DFND,17657000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
16,APPLE INC,COM,037833100,152524,681000,SH,DFND,681000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
17,APPLE INC,COM,037833100,3445946,15385747,SH,DFND,15385747,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
18,APPLE INC,COM,037833100,680421,3038000,SH,DFND,3038000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
19,APPLE INC,COM,037833100,3054951,13640000,SH,DFND,13640000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
20,APPLE INC,COM,037833100,42348232,189079932,SH,DFND,189135932,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
21,APPLE INC,COM,037833100,151852,678000,SH,DFND,678000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
22,APPLE INC,COM,037833100,211428,944000,SH,DFND,944000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
23,BANK AMER CORP,COM,060505104,179687,6160000,SH,DFND,6160000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
24,BANK AMER CORP,COM,060505104,347123,11900000,SH,DFND,11900000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
25,BANK AMER CORP,COM,060505104,242330,8307500,SH,DFND,8307500,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
26,BANK AMER CORP,COM,060505104,4083800,140000000,SH,DFND,140000000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
27,BANK AMER CORP,COM,060505104,893419,30628000,SH,DFND,30628000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
28,BANK AMER CORP,COM,060505104,61257,2100000,SH,DFND,2100000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
29,BANK AMER CORP,COM,060505104,9094623,311780000,SH,DFND,311780000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
30,BANK AMER CORP,COM,060505104,350011,11999000,SH,DFND,11999000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
31,BANK AMER CORP,COM,060505104,503912,17275000,SH,DFND,17275000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
32,BANK AMER CORP,COM,060505104,10189055,349299100,SH,DFND,349299100,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
33,BANK AMER CORP,COM,060505104,816760,28000000,SH,DFND,28000000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
34,BANK AMER CORP,COM,060505104,285866,9800000,SH,DFND,9800000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
35,BANK OF NEW YORK MELLON CORP,COM,064058100,339584,7511249,SH,DFND,7511249,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
36,BANK OF NEW YORK MELLON CORP,COM,064058100,97111,2148000,SH,DFND,2148000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
37,BANK OF NEW YORK MELLON CORP,COM,064058100,81103,1793915,SH,DFND,1793915,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
38,BANK OF NEW YORK MELLON CORP,COM,064058100,20661,457000,SH,DFND,457000,0,0,2019-09-30,2019Q3,Berkshire Hathaway Inc,0001067983
