,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,Ac Immune Sa,SHS,H00263105,21021,2388700,SH,DFND,2388700,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
1,Activision Blizzard Inc,COM,00507V109,41111,714100,SH,DFND,714100,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
2,Alibaba Group Hldg Ltd,SPONSORED ADS,01609W102,100067,710200,SH,DFND,710200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
3,Alphabet Inc,CAP STK CL A,02079K305,162369,174650,SH,DFND,174650,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
4,Amazon Com Inc,COM,023135106,116163,120003,SH,DFND,120003,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
5,American Airls Group Inc,COM,02376R102,20128,400000,SH,DFND,400000,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
6,Autodesk Inc,COM,052769106,35065,347800,SH,DFND,347800,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
7,Comcast Corp New,CL A,20030N101,76610,1968400,SH,DFND,1968400,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
8,Crown Castle Intl Corp New,COM,22822V101,14827,148000,SH,DFND,148000,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
9,Ctrip Com Intl Ltd,AMERICAN DEP SHS,22943F100,76061,1412200,SH,DFND,1412200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
10,Delta Air Lines Inc Del,COM NEW,247361702,21012,391000,SH,DFND,391000,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
11,Electronic Arts Inc,COM,285512109,75474,713900,SH,DFND,713900,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
12,Expedia Inc Del,COM NEW,30212P303,48243,323884,SH,DFND,323884,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
13,Facebook Inc,CL A,30303M102,163602,1083600,SH,DFND,1083600,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
14,Hdfc Bank Ltd,ADR REPS 3 SHS,40415F101,11150,128200,SH,DFND,128200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
15,Ishares Tr,NASDQ BIOTEC ETF,464287556,25563,82400,SH,DFND,82400,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
16,Jd Com Inc,SPON ADR CL A,47215P106,53292,1358800,SH,DFND,1358800,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
17,Las Vegas Sands Corp,COM,517834107,39260,614500,SH,DFND,614500,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
18,Mastercard Incorporated,CL A,57636Q104,20064,165200,SH,DFND,165200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
19,Merck & Co Inc,COM,58933Y105,48420,755500,SH,DFND,755500,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
20,Microsoft Corp,COM,594918104,181431,2632100,SH,DFND,2632100,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
21,Nektar Therapeutics,COM,640268108,22797,1166100,SH,DFND,1166100,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
22,Netease Inc,SPONSORED ADR,64110W102,25764,85700,SH,DFND,85700,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
23,Paypal Hldgs Inc,COM,70450Y103,49655,925200,SH,DFND,925200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
24,Potash Corp Sask Inc,COM,73755L107,34124,2093500,SH,DFND,2093500,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
25,Priceline Grp Inc,COM NEW,741503403,117712,62930,SH,DFND,62930,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
26,Ptc Inc,COM,69370C100,24782,449600,SH,DFND,449600,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
27,Salesforce Com Inc,COM,79466L302,93667,1081600,SH,DFND,1081600,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
28,Sba Communications Corp New,CL A,78410G104,15109,112000,SH,DFND,112000,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
29,Servicenow Inc,COM,81762P102,45368,428000,SH,DFND,428000,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
30,United Contl Hldgs Inc,COM,910047109,18323,243500,SH,DFND,243500,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
31,Visa Inc,COM CL A,92826C839,20294,216400,SH,DFND,216400,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
32,Workday Inc,CL A,98138H101,24279,250300,SH,DFND,250300,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
33,Yum China Hldgs Inc,COM,98850P109,23548,597200,SH,DFND,597200,0,0,2017-06-30,2017Q2,Duquesne Family Office LLC,0001536411
