,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,62432,294350,SH,SOLE,294350,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
1,ALLEGIANT TRAVEL CO,COM,01748X102,3481,20000,SH,SOLE,20000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
2,ANGI HOMESERVICES INC,COM CL A,00183L102,7538,890000,SH,SOLE,890000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
3,BOOKING HLDGS INC,COM,09857L108,280133,136402,SH,SOLE,136402,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
4,CROWDSTRIKE HLDGS INC,CL A,22788C105,7481,150000,SH,SOLE,150000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
5,DATADOG INC,CL A COM,23804L103,5667,150000,SH,SOLE,150000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
6,DYNATRACE INC,COM,268150109,25300,1000000,SH,SOLE,1000000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
7,ELASTIC NV,ORD SHS,N14506104,9002,140000,SH,SOLE,140000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
8,EXPEDIA GROUP INC,COM NEW,30212P303,4350,5000,SH,SOLE,5000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
9,EXPEDIA GROUP INC,COM NEW,30212P303,394427,3647373,SH,SOLE,3647373,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
10,FACEBOOK INC,CL A,30303M102,770385,3753400,SH,SOLE,3753400,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
11,FARFETCH LTD,ORD SH CL A,30744W107,39117,3779409,SH,SOLE,3779409,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
12,MESA AIR GROUP INC,COM NEW,590479135,2947,329686,SH,SOLE,329686,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
13,MICROSOFT CORP,COM,594918104,82793,525000,SH,SOLE,525000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
14,MONGODB INC,CL A,60937P106,39483,300000,SH,SOLE,300000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
15,NORWEGIAN CRUISE LINE HLDG L,SHS,G66721104,6425,110000,SH,SOLE,110000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
16,OKTA INC,CL A,679295105,28843,250000,SH,SOLE,250000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
17,PINDUODUO INC,SPONSORED ADS,722304102,328656,8690000,SH,SOLE,8690000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
18,RANPAK HOLDINGS CORP,COM CL A,75321W103,8150,1000000,SH,SOLE,1000000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
19,SALESFORCE.COM INC,COM,79466L302,672338,4133903,SH,SOLE,4133903,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
20,SKYWEST INC,COM,830879102,2262,35000,SH,SOLE,35000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
21,SPIRIT AIRLS INC,COM,848577102,9070,225000,SH,SOLE,225000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
22,TRIVAGO NV,SPON ADS A SHS,89686D105,13679,5221028,SH,SOLE,5221028,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
23,UBER TECHNOLOGIES INC,COM,90353T100,1798,60000,SH,SOLE,60000,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
24,UBER TECHNOLOGIES INC,COM,90353T100,627314,21093284,SH,SOLE,21093284,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
25,UNITED AIRLINES HLDGS INC,COM,910047109,1407,13150,SH,SOLE,13150,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
26,UNITED AIRLINES HLDGS INC,COM,910047109,1040526,11812083,SH,SOLE,11812083,0,0,2019-12-31,2019Q4,"Altimeter Capital Management, LP",0001541617
