,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,Abbott Labs,COM,002824100,76667,916300,SH,DFND,916300,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
1,Activision Blizzard Inc,COM,00507V109,87443,1652355,SH,DFND,1652355,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
2,Adobe Inc,COM,00724F101,8451,30592,SH,DFND,30592,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
3,Agnico Eagle Mines Ltd,COM,008474108,31421,586100,SH,DFND,586100,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
4,Alibaba Group Hldg Ltd,SPONSORED ADS,01609W102,80427,480937,SH,DFND,480937,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
5,Alteryx Inc,COM CL A,02156B103,46155,429626,SH,DFND,429626,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
6,Amazon Com Inc,COM,023135106,263053,151536,SH,DFND,151536,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
7,Anaplan Inc,COM,03272L108,62197,1323345,SH,DFND,1323345,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
8,Atlassian Corp Plc,CL A,G06242104,3231,25755,SH,DFND,25755,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
9,Barrick Gold Corporation,COM,067901108,68008,3924300,SH,DFND,3924300,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
10,Coupa Software Inc,COM,22266L106,73680,568647,SH,DFND,568647,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
11,Crowdstrike Hldgs Inc,CL A,22788C105,4661,79940,SH,DFND,79940,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
12,Eagle Materials Inc,COM,26969P108,6975,77487,SH,DFND,77487,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
13,Electronic Arts Inc,COM,285512109,15798,161500,SH,DFND,161500,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
14,Facebook Inc,CL A,30303M102,25299,142068,SH,DFND,142068,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
15,Fastly Inc,CL A,31188V100,2732,113826,SH,DFND,113826,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
16,Fidelity Natl Information Sv,COM,31620M106,16635,125305,SH,DFND,125305,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
17,General Electric Co,COM,369604103,132718,14845368,SH,DFND,14845368,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
18,General Electric Co,COM,369604103,15413,1724100,SH,DFND,1724100,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
19,Hdfc Bank Ltd,SPONSORED ADS,40415F101,48435,849000,SH,DFND,849000,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
20,Home Depot Inc,COM,437076102,96010,413800,SH,DFND,413800,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
21,Intuitive Surgical Inc,COM NEW,46120E602,15010,27800,SH,DFND,27800,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
22,Ishares Tr,MSCI INDIA ETF,46429B598,49566,1476500,SH,DFND,1476500,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
23,Mastercard Inc,CL A,57636Q104,3019,11115,SH,DFND,11115,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
24,Medicines Co,COM,584688105,29275,585500,SH,DFND,585500,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
25,Mercadolibre Inc,COM,58733R102,94199,170888,SH,DFND,170888,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
26,Microsoft Corp,COM,594918104,555384,3994703,SH,DFND,3994703,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
27,Netflix Inc,COM,64110L106,92910,347172,SH,DFND,347172,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
28,New Relic Inc,COM,64829B100,2943,47885,SH,DFND,47885,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
29,Okta Inc,CL A,679295105,23561,239300,SH,DFND,239300,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
30,Realpage Inc,COM,75606N109,5189,82543,SH,DFND,82543,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
31,Reata Pharmaceuticals Inc,CL A,75615P103,13913,173285,SH,DFND,173285,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
32,Sailpoint Technlgies Hldgs I,COM,78781P105,297,15870,SH,DFND,15870,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
33,Sea Ltd,SPONSORED ADS,81141R100,75620,2443285,SH,DFND,2443285,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
34,Servicenow Inc,COM,81762P102,128859,507618,SH,DFND,507618,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
35,Shopify Inc,CL A,82509L107,66222,212480,SH,DFND,212480,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
36,Smartsheet Inc,COM CL A,83200N103,13926,386510,SH,DFND,386510,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
37,Twilio Inc,CL A,90138F102,12460,113315,SH,DFND,113315,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
38,Uber Technologies Inc,COM,90353T100,5085,166882,SH,DFND,166882,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
39,Visa Inc,COM CL A,92826C839,93935,546100,SH,DFND,546100,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
40,Wayfair Inc,CL A,94419L101,3003,26785,SH,DFND,26785,0,0,2019-09-30,2019Q3,Duquesne Family Office LLC,0001536411
