,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ADOBE INC,COM,00724F101,63036,278625,SH,SOLE,278625,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
1,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,103197,752880,SH,SOLE,752880,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
2,ALPHABET INC,CAP STK CL A,02079K305,103519,99065,SH,SOLE,99065,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
3,ALTERYX INC,COM CL A,02156B103,16742,281516,SH,SOLE,281516,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
4,AMAZON COM INC,COM,023135106,364312,242556,SH,SOLE,242556,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
5,CARVANA CO,CL A,146869102,32102,981418,SH,SOLE,981418,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
6,CERIDIAN HCM HLDG INC,COM,15677J108,135461,3927540,SH,SOLE,3927540,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
7,COUPA SOFTWARE INC,COM,22266L106,139194,2214345,SH,SOLE,2214345,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
8,FACEBOOK INC,CL A,30303M102,150882,1150981,SH,SOLE,1150981,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
9,JD COM INC,SPON ADR CL A,47215P106,61204,2924233,SH,SOLE,2924233,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
10,MICROSOFT CORP,COM,594918104,114244,1124782,SH,SOLE,1124782,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
11,MIMECAST LTD,ORD SHS,G14838109,54605,1623686,SH,SOLE,1623686,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
12,MONGODB INC,CL A,60937P106,200221,2390982,SH,SOLE,2390982,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
13,MONOLITHIC PWR SYS INC,COM,609839105,46521,400183,SH,SOLE,400183,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
14,NETFLIX INC,COM,64110L106,173764,649195,SH,SOLE,649195,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
15,NVIDIA CORP,COM,67066G104,93795,702585,SH,SOLE,702585,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
16,OKTA INC,CL A,679295105,119493,1872924,SH,SOLE,1872924,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
17,PLURALSIGHT INC,COM CL A,72941B106,48089,2042005,SH,SOLE,2042005,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
18,RINGCENTRAL INC,CL A,76680R206,126328,1532364,SH,SOLE,1532364,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
19,SALESFORCE COM INC,COM,79466L302,153985,1124227,SH,SOLE,1124227,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
20,SCIENTIFIC GAMES CORP,COM,80874P109,61076,3415894,SH,SOLE,3415894,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
21,SHOPIFY INC,CL A,82509L107,148297,1071124,SH,SOLE,1071124,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
22,SMARTSHEET INC,COM CL A,83200N103,66824,2687999,SH,SOLE,2687999,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
23,SQUARE INC,CL A,852234103,50481,900000,SH,SOLE,0,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
24,SQUARE INC,CL A,852234103,106857,1905092,SH,SOLE,1905092,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
25,TWILIO INC,CL A,90138F102,219837,2461782,SH,SOLE,2461782,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
26,WAYFAIR INC,CL A,94419L101,32169,357111,SH,SOLE,357111,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
27,WORKDAY INC,CL A,98138H101,29950,187560,SH,SOLE,187560,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
28,ZENDESK INC,COM,98936J101,124610,2134830,SH,SOLE,2134830,0,0,2018-12-31,2018Q4,Whale Rock Capital Management LLC,0001387322
