,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,Adobe Inc,Common Stock,00724F101,24820,50608,SH,SOLE,50608,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
1,Aerojet Rocketdyne Holdings In,Common Stock,007800105,424,10640,SH,SOLE,10640,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
2,AeroVironment Inc,Common Stock,008073108,12094,201537,SH,SOLE,201537,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
3,Alibaba Group Holding Ltd,ADR,01609W102,75662,257372,SH,SOLE,241645,14932,795,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
4,Align Technology Inc,Common Stock,016255101,613,1872,SH,SOLE,1872,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
5,Allegheny Technologies Inc,Common Stock,01741R102,53,6111,SH,SOLE,6111,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
6,Alphabet Inc,Common Stock,02079K107,21822,14849,SH,SOLE,14849,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
7,Altair Engineering Inc,Common Stock,021369103,2249,53575,SH,SOLE,53575,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
8,Amazon.com Inc,Common Stock,023135106,76407,24266,SH,SOLE,24266,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
9,AMETEK Inc,Common Stock,031100100,626,6300,SH,SOLE,6300,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
10,ANSYS Inc,Common Stock,03662Q105,9159,27988,SH,SOLE,27988,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
11,Apple Inc,Common Stock,037833100,26627,229924,SH,SOLE,229924,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
12,AquaBounty Technologies Inc,Common Stock,03842K200,17296,3860659,SH,SOLE,3860659,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
13,Arcturus Therapeutics Holdings,Common Stock,03969T109,107072,2495842,SH,SOLE,2495842,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
14,Autodesk Inc,Common Stock,052769106,12749,55188,SH,SOLE,30798,24390,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
15,Baidu Inc,ADR,056752108,11967,94537,SH,SOLE,94537,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
16,Renishaw PLC,Common Stock,G75006117,3003,41388,SH,SOLE,41388,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
17,CareDx Inc,Common Stock,14167L103,70539,1859227,SH,SOLE,1859227,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
18,Carpenter Technology Corp,Common Stock,144285103,48,2649,SH,SOLE,2649,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
19,Castle Biosciences Inc,Common Stock,14843C105,23035,447725,SH,SOLE,447725,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
20,Cellectis SA,ADR,15117K103,76499,4135083,SH,SOLE,3742227,375321,17535,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
21,Cellular Biomedicine Group Inc,Common Stock,15117P102,1302,71010,SH,SOLE,71010,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
22,Cerus Corp,Common Stock,157085101,187800,30000071,SH,SOLE,27609324,616222,1774525,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
23,Codexis Inc,Common Stock,192005106,16580,1412299,SH,SOLE,1412299,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
24,Deere & Co,Common Stock,244199105,23815,107456,SH,SOLE,107456,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
25,DuPont de Nemours Inc,Common Stock,26614N102,62,1114,SH,SOLE,1114,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
26,Eastman Chemical Co,Common Stock,277432100,63,803,SH,SOLE,803,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
27,Editas Medicine Inc,Common Stock,28106W103,299412,10670424,SH,SOLE,9306175,817167,547082,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
28,Eventbrite Inc,Common Stock,29975E109,106,9767,SH,SOLE,0,9767,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
29,ExOne Co/The,Common Stock,302104104,49650,4062980,SH,SOLE,3682161,0,380819,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
30,FLIR Systems Inc,Common Stock,302445101,16200,451880,SH,SOLE,451880,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
31,Facebook Inc,Common Stock,30303M102,191129,729778,SH,SOLE,681302,22057,26419,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
32,FARO Technologies Inc,Common Stock,311642102,639,10475,SH,SOLE,10475,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
33,Fate Therapeutics Inc,Common Stock,31189P102,57556,1439970,SH,SOLE,1439970,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
34,General Electric Co,Common Stock,369604103,359,57632,SH,SOLE,57632,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
35,Grayscale Bitcoin Trust BTC,Open-End Fund,389637109,56720,5170460,SH,SOLE,4029656,698472,442332,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
36,Guardant Health Inc,Common Stock,40131M109,26159,234021,SH,SOLE,234021,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
37,Guidewire Software Inc,Common Stock,40171V100,8155,78215,SH,SOLE,78215,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
38,HDFC Bank Ltd,ADR,40415F101,7239,144896,SH,SOLE,144896,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
39,HP Inc,Common Stock,40434L105,2494,131320,SH,SOLE,131320,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
40,Hexcel Corp,Common Stock,428291108,46,1362,SH,SOLE,1362,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
41,HubSpot Inc,Common Stock,443573100,29499,100945,SH,SOLE,100945,0,0,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
42,Illumina Inc,Common Stock,452327109,302485,978663,SH,SOLE,817849,108514,52300,2020-09-30,2020Q3,ARK Investment Management LLC,0001697748
