,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALTERYX INC,COM CL A,02156B103,227513,2003637,SH,SOLE,2003637,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
1,APPIAN CORP,CL A,03782L101,521851,8059473,SH,SOLE,8059473,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
2,AXON ENTERPRISE INC,COM,05464C101,198172,2184920,SH,SOLE,2184920,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
3,BILL COM HLDGS INC,COM,090043100,228869,2281619,SH,SOLE,2281619,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
4,FASTLY INC,CL A,31188V100,890117,9501679,SH,SOLE,9501679,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
5,FLOOR & DECOR HLDGS INC,CL A,339750101,372820,4984222,SH,SOLE,4984222,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
6,SHOPIFY INC,CL A,82509L107,267951,261934,SH,SOLE,261934,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
7,SMARTSHEET INC,COM CL A,83200N103,150920,3053818,SH,SOLE,3053818,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
8,ZOOM VIDEO COMMUNICATIONS INC,CL A,98980L101,321306,683469,SH,SOLE,683469,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
9,ZOOMINFO TECHNOLOGIES INC,COM CL A,98980F104,4299,100000,SH,SOLE,100000,0,0,2020-09-30,2020Q3,"Abdiel Capital Advisors, LP",0001578684
