,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3M CO,COM,88579Y101,541,3094,SH,SOLE,3094,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
1,51JOB INC,SPONSORED ADS,316827104,2674,38193,SH,SOLE,38193,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
2,ABBOTT LABS,COM,002824100,99956,912926,SH,SOLE,893315,0,19611,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
3,ABBVIE INC,COM,00287Y109,2710,25294,SH,SOLE,25294,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
4,ABIOMED INC,COM,003654100,8402,25917,SH,SOLE,25408,0,509,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
5,ACTIVISION BLIZZARD INC,COM,00507V109,8652,93185,SH,SOLE,93185,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
6,ACUITY BRANDS INC,COM,00508Y102,1721,14212,SH,SOLE,14212,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
7,ADOBE SYSTEMS INCORPORATED,COM,00724F101,11154,22302,SH,SOLE,22302,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
8,ADVANCED MICRO DEVICES INC,COM,007903107,4192,45706,SH,SOLE,45706,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
9,AECOM,COM,00766T100,2655,53325,SH,SOLE,53325,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
10,AFFILIATED MANAGERS GROUP IN,COM,008252108,848,8337,SH,SOLE,8337,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
11,AGCO CORP,COM,001084102,748,7259,SH,SOLE,7259,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
12,AGILENT TECHNOLOGIES INC,COM,00846U101,4514,38099,SH,SOLE,38099,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
13,AGNICO EAGLE MINES LTD,COM,008474108,436,6199,SH,SOLE,6199,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
14,AIR PRODS & CHEMS INC,COM,009158106,9073,33207,SH,SOLE,33207,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
15,ALASKA AIR GROUP INC,COM,011659109,763,14672,SH,SOLE,14672,0,0,2020-12-31,2020Q4,"Bridgewater Associates, LP",0001350694
