,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,63692,349095,SH,SOLE,349095,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
1,ALPHABET INC,CAP STK CL A,02079K305,142672,121228,SH,SOLE,121228,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
2,ALTERYX INC,COM CL A,02156B103,63449,756514,SH,SOLE,756514,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
3,AMAZON COM INC,COM,023135106,333705,187396,SH,SOLE,187396,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
4,ANALOG DEVICES INC,COM,032654105,152676,1450326,SH,SOLE,1450326,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
5,ARCO PLATFORM LTD,COM CL A,G04553106,5945,184116,SH,SOLE,184116,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
6,CARVANA CO,CL A,146869102,117759,2028224,SH,SOLE,2028224,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
7,CERIDIAN HCM HLDG INC,COM,15677J108,241629,4710124,SH,SOLE,4710124,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
8,COUPA SOFTWARE INC,COM,22266L106,285887,3142301,SH,SOLE,3142301,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
9,COUPA SOFTWARE INC,COM,22266L106,36392,400000,SH,SOLE,400000,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
10,FACEBOOK INC,CL A,30303M102,204202,1225040,SH,SOLE,1225040,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
11,FARFETCH LTD,ORD SH CL A,30744W107,79485,2953741,SH,SOLE,2953741,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
12,INTUIT,COM,461202103,178547,683017,SH,SOLE,683017,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
13,LYFT INC,CL A COM,55087P104,5480,70000,SH,SOLE,70000,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
14,MARRIOTT INTL INC NEW,CL A,571903202,87563,700000,SH,SOLE,700000,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
15,MERCADOLIBRE INC,COM,58733R102,38563,75952,SH,SOLE,75952,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
16,MIMECAST LTD,ORD SHS,G14838109,94262,1990748,SH,SOLE,1990748,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
17,MONGODB INC,CL A,60937P106,351284,2389364,SH,SOLE,2389364,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
18,MONOLITHIC PWR SYS INC,COM,609839105,54171,399813,SH,SOLE,399813,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
19,NETFLIX INC,COM,64110L106,238591,669147,SH,SOLE,669147,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
20,OKTA INC,CL A,679295105,33092,400000,SH,SOLE,400000,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
21,OKTA INC,CL A,679295105,154818,1871370,SH,SOLE,1871370,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
22,PAGSEGURO DIGITAL LTD,COM CL A,G68707101,40062,1342123,SH,SOLE,1342123,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
23,PAYPAL HLDGS INC,COM,70450Y103,206292,1986633,SH,SOLE,1986633,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
24,PLURALSIGHT INC,COM CL A,72941B106,64756,2040193,SH,SOLE,2040193,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
25,RINGCENTRAL INC,CL A,76680R206,137271,1273386,SH,SOLE,1273386,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
26,ROKU INC,COM CL A,77543R102,134318,2082122,SH,SOLE,2082122,0,0,2019-03-31,2019Q1,Whale Rock Capital Management LLC,0001387322
