,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ABBOTT LABS,COM,002824100,2026,45000,SH,SOLE,45000,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
1,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,3581,40100,SH,SOLE,40100,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
2,ACE LTD,SHS,H0023R105,320,2785,SH,SOLE,2785,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
3,ACTIVISION BLIZZARD INC,COM,00507V109,5039,250066,SH,SOLE,250066,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
4,ADOBE SYS INC,COM,00724F101,3799,52252,SH,SOLE,52252,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
5,AETNA INC NEW,COM,00817Y108,3066,34519,SH,SOLE,34519,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
6,AFLAC INC,COM,001055102,3664,59985,SH,SOLE,59985,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
7,AGNICO EAGLE MINES LTD,COM,008474108,7935,318791,SH,SOLE,318791,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
8,AGRIUM INC,COM,008916108,9800,103466,SH,SOLE,103466,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
9,AKAMAI TECHNOLOGIES INC,COM,00971T101,938,14896,SH,SOLE,14896,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
10,ALASKA AIR GROUP INC,COM,011659109,239,4000,SH,SOLE,4000,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
11,ALBEMARLE CORP,COM,012653101,207,3444,SH,SOLE,3444,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
12,ALCOA INC,COM,013817101,1843,116700,SH,SOLE,116700,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
13,ALEXION PHARMACEUTICALS INC,COM,015351109,3425,18513,SH,SOLE,18513,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
14,ALLIANCE DATA SYSTEMS CORP,COM,018581108,7064,24694,SH,SOLE,24694,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
15,ALTERA CORP,COM,021441100,11198,303149,SH,SOLE,303149,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
16,AMC NETWORKS INC,CL A,00164V103,317,4968,SH,SOLE,4968,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
17,AMERICAN AIRLS GROUP INC,COM,02376R102,408,7600,SH,SOLE,7600,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
18,AMERICAN CAPITAL AGENCY CORP,COM,02503X105,14341,656954,SH,SOLE,656954,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
19,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,1489,107300,SH,SOLE,107300,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
20,AMERICAN EXPRESS CO,COM,025816109,2653,28517,SH,SOLE,28517,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
21,AMERICAN INTL GROUP INC,COM NEW,026874784,851,15200,SH,SOLE,15200,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
22,AMERISOURCEBERGEN CORP,COM,03073E105,792,8784,SH,SOLE,8784,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
23,ANADARKO PETE CORP,COM,032511107,10222,123900,SH,SOLE,123900,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
24,ANALOG DEVICES INC,COM,032654105,3809,68609,SH,SOLE,68609,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
25,ANGLOGOLD ASHANTI LTD,SPONSORED ADR,035128206,3746,430600,SH,SOLE,430600,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
26,ANNALY CAP MGMT INC,COM,035710409,3115,288200,SH,SOLE,288200,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
27,ANSYS INC,COM,03662Q105,202,2461,SH,SOLE,2461,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
28,ANTHEM INC,COM,036752103,3411,27141,SH,SOLE,27141,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
29,AOL INC,COM,00184X105,259,5600,SH,SOLE,5600,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
30,APACHE CORP,COM,037411105,5828,93000,SH,SOLE,93000,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
31,APPLE INC,COM,037833100,28643,259497,SH,SOLE,259497,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
32,APPLIED MATLS INC,COM,038222105,3561,142899,SH,SOLE,142899,0,0,2014-12-31,2014Q4,"Bridgewater Associates, LP",0001350694
