,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ADOBE SYS INC,COM,00724F101,69973,287000,SH,SOLE,287000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
1,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,824851,4445919,SH,SOLE,4445919,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
2,AMAZON COM INC,COM,023135106,2034916,1197150,SH,SOLE,1197150,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
3,APOLLO GLOBAL MGMT LLC,CL A SHS,037612306,1097055,34422807,SH,SOLE,34422807,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
4,ATLASSIAN CORP PLC,CL A,G06242104,31260,500000,SH,SOLE,500000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
5,AUTODESK INC,COM,052769106,303804,2317523,SH,SOLE,2317523,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
6,AVALARA INC,COM,05338G106,5337,100000,SH,SOLE,100000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
7,BARCLAYS BK PLC,IPATH S&P500 VIX,06746L422,32618,881575,SH,SOLE,881575,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
8,BILIBILI INC,SPONS ADS REP Z,090040106,81687,5838922,SH,SOLE,5838922,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
9,BOOKING HLDGS INC,COM,09857L108,1332045,657122,SH,SOLE,657122,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
10,BRIGHT SCHOLAR ED HLDGS LTD,SPONSORED ADS,109199109,33538,2016707,SH,SOLE,2016707,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
11,CERIDIAN HCM HLDG INC,COM,15677J108,5642,170000,SH,SOLE,170000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
12,CLOUDERA INC,COM,18914U100,682,50000,SH,SOLE,50000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
13,COUPA SOFTWARE INC,COM,22266L106,88070,1415000,SH,SOLE,1415000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
14,DESPEGAR COM CORP,ORD SHS,G27358103,633381,30204172,SH,SOLE,30204172,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
15,DOCUSIGN INC,COM,256163106,15885,300000,SH,SOLE,300000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
16,DOMINOS PIZZA INC,COM,25754A201,594165,2105700,SH,SOLE,2105700,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
17,DROPBOX INC,CL A,26210C104,6484,200000,SH,SOLE,200000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
18,FACEBOOK INC,CL A,30303M102,1025652,5278160,SH,SOLE,5278160,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
19,FACEBOOK INC,CL A,30303M102,148655,765000,SH,SOLE,765000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
20,FARMLAND PARTNERS INC,COM,31154R109,392,44502,SH,SOLE,44502,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
21,FIAT CHRYSLER AUTOMOBILES N,SHS,N31738102,492071,26049289,SH,SOLE,26049289,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
22,FIREEYE INC,COM,31816Q101,3078,200000,SH,SOLE,200000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
23,FITBIT INC,CL A,33812L102,3265,500000,SH,SOLE,500000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
24,FLEETCOR TECHNOLOGIES INC,COM,339041105,236139,1121000,SH,SOLE,1121000,0,0,2018-06-30,2018Q2,TIGER GLOBAL MANAGEMENT LLC,0001167483
