,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AIG,COM NEW,026874784,95,1700,SH,DFND,1700,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
1,Acacia Reasearch Corp,ACACIA TCH COM,003881307,2433,143640,SH,DFND,143640,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
2,Acacia Reasearch Corp,ACACIA TCH COM,003881307,3764,222180,SH,SOLE,222180,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
3,Aerovironment,COM,008073108,2502,91810,SH,DFND,91810,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
4,Aerovironment,COM,008073108,4684,171900,SH,SOLE,171900,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
5,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,65796,633021,SH,DFND,633021,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
6,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,446092,4291820,SH,SOLE,3740787,0,551033,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
7,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,51082,491452,SH,DFND,491452,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
8,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,974733,9377846,SH,DFND,4259485,0,5118361,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
9,Alnylam Pharmaceuticals,COM,02043Q107,13611,140320,SH,DFND,140320,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
10,Alnylam Pharmaceuticals,COM,02043Q107,10105,104180,SH,DFND,104180,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
11,Alnylam Pharmaceuticals,COM,02043Q107,82346,848930,SH,SOLE,848930,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
12,Altera Corp,COM,021441100,3822,103471,SH,DFND,103471,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
13,Altera Corp,COM,021441100,693,18762,SH,DFND,18762,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
14,Altera Corp,COM,021441100,4978,134760,SH,DFND,65597,0,69163,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
15,Altria Group,COM,02209S103,30427,617560,SH,DFND,617560,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
16,Altria Group,COM,02209S103,45952,932651,SH,DFND,458851,0,473800,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
17,Altria Group,COM,02209S103,6376,129400,SH,DFND,129400,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
18,Amazon.Com,COM,023135106,62514,201431,SH,DFND,201431,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
19,Amazon.Com,COM,023135106,2035364,6558286,SH,DFND,2950093,0,3608193,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
20,Amazon.Com,COM,023135106,1073177,3457956,SH,SOLE,2509280,0,948676,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
21,Amazon.Com,COM,023135106,212113,683463,SH,DFND,683463,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
22,Amedisys Inc,COM,023436108,377,12829,SH,DFND,12829,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
23,America Movil 'L Shares' ADR,SPON ADR L SHS,02364W105,9702,437400,SH,DFND,437400,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
24,America Movil 'L Shares' ADR,SPON ADR L SHS,02364W105,69530,3134804,SH,DFND,636400,0,2498404,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
25,American Express,COM,025816109,34412,369859,SH,DFND,369859,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
26,American Express,COM,025816109,130656,1404296,SH,SOLE,1219234,0,185062,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
27,American Express,COM,025816109,70754,760466,SH,DFND,760466,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
28,American Express,COM,025816109,166809,1792877,SH,DFND,1305067,0,487810,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
29,Analog Devices,COM,032654105,11322,203918,SH,SOLE,203918,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
30,Analog Devices,COM,032654105,9209,165860,SH,DFND,165860,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
31,Anthem Inc,COM,036752103,338152,2690793,SH,DFND,1864724,0,826069,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
32,Anthem Inc,COM,036752103,72073,573512,SH,DFND,573512,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
33,Anthem Inc,COM,036752103,106412,846760,SH,DFND,846760,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
34,Anthem Inc,COM,036752103,203118,1616277,SH,SOLE,1356099,0,260178,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
35,Apache Corp,COM,037411105,12913,206054,SH,DFND,206054,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
36,Apache Corp,COM,037411105,13069,208543,SH,DFND,112233,0,96310,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
37,Apache Corp,COM,037411105,8687,138614,SH,DFND,138614,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
38,Apache Corp,COM,037411105,13794,220104,SH,SOLE,220104,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
39,Apollo Group Inc Class A,CL A,037604105,143,4200,SH,DFND,4200,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
40,Apollo Senior Floating Rate,COM,037636107,12639,760000,SH,DFND,760000,0,0,2014-12-31,2014Q4,BAILLIE GIFFORD & CO,0001088875
