,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AGORA INC,ADS,00851L103,27490,694891,SH,DFND,694891,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
1,AGORA INC,ADS,00851L103,98900,2500000,SH,DFND,2500000,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
2,AGORA INC,ADS,00851L103,271980,6875135,SH,DFND,6875135,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
3,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,271597,1167006,SH,DFND,1167006,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
4,ALIGN TECHNOLOGY INC,COM,016255101,46959,87875,SH,DFND,87875,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
5,ALTERYX INC,COM CL A,02156B103,239548,1966891,SH,DFND,1966891,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
6,ALTERYX INC,COM CL A,02156B103,45141,370647,SH,DFND,370647,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
7,ALTERYX INC,COM CL A,02156B103,93125,764637,SH,DFND,764637,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
8,AMAZON COM INC,COM,023135106,115520,35469,SH,DFND,35469,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
9,AMAZON COM INC,COM,023135106,565615,173665,SH,DFND,173665,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
10,AMERICAN EAGLE OUTFITTERS IN,COM,02553E106,34326,1710320,SH,DFND,1710320,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
11,ANAPLAN INC,COM,03272L108,346429,4821555,SH,DFND,4821555,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
12,ANAPLAN INC,COM,03272L108,133983,1864758,SH,DFND,1864758,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
13,ANAPLAN INC,COM,03272L108,126792,1764677,SH,DFND,1764677,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
14,ATLASSIAN CORP PLC,CL A,G06242104,208,891,SH,DFND,891,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
15,BEST BUY INC,COM,086516101,123993,1242544,SH,DFND,1242544,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
16,BOEING CO,COM,097023105,22194,103681,SH,DFND,103681,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
17,BOEING CO,COM,097023105,22621,105678,SH,DFND,105678,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
18,BROADCOM INC,COM,11135F101,25809,58944,SH,DFND,58944,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
19,BROADCOM INC,COM,11135F101,139054,317584,SH,DFND,317584,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
20,COUPA SOFTWARE INC,COM,22266L106,15930,47005,SH,DFND,47005,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
21,CREE INC,COM,225447101,204254,1928743,SH,DFND,1928743,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
22,CROWDSTRIKE HLDGS INC,CL A,22788C105,616997,2912835,SH,DFND,2912835,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
23,CROWDSTRIKE HLDGS INC,CL A,22788C105,92238,435454,SH,DFND,435454,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
24,CROWDSTRIKE HLDGS INC,CL A,22788C105,130481,616000,SH,DFND,616000,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
25,DATADOG INC,CL A COM,23804L103,46194,469263,SH,DFND,469263,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
26,DATADOG INC,CL A COM,23804L103,84505,858438,SH,DFND,858438,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
27,DATADOG INC,CL A COM,23804L103,580,5895,SH,DFND,5895,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
28,DECKERS OUTDOOR CORP,COM,243537107,101291,353201,SH,DFND,353201,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
29,DEXCOM INC,COM,252131107,3517,9513,SH,DFND,9513,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
30,DISNEY WALT CO,COM,254687106,1383989,7638754,SH,DFND,7638754,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
31,DISNEY WALT CO,COM,254687106,225147,1242671,SH,DFND,1242671,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
32,DISNEY WALT CO,COM,254687106,394038,2174843,SH,DFND,2174843,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
33,DOCUSIGN INC,COM,256163106,214216,963634,SH,DFND,963634,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
34,DOCUSIGN INC,COM,256163106,56983,256334,SH,DFND,256334,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
35,DOORDASH INC,CL A,25809K105,29806,208796,SH,DFND,208796,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
36,DOORDASH INC,CL A,25809K105,115799,811204,SH,DFND,811204,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
37,DOORDASH INC,CL A,25809K105,206189,1444405,SH,SOLE,1444405,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
38,DOORDASH INC,CL A,25809K105,897369,6286300,SH,DFND,6286300,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
39,DYNATRACE INC,COM NEW,268150109,219015,5061599,SH,DFND,5061599,0,0,2020-12-31,2020Q4,COATUE MANAGEMENT LLC,0001135730
