,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,149033,803282,SH,SOLE,803282,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
1,ALPHABET INC,CAP STK CL A,02079K305,111952,99144,SH,SOLE,99144,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
2,AMAZON COM INC,COM,023135106,301582,177422,SH,SOLE,177422,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
3,AVALARA INC,COM,05338G106,64341,1205562,SH,SOLE,1205562,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
4,CARVANA CO,CL A,146869102,35039,842275,SH,SOLE,842275,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
5,CERIDIAN HCM HLDG INC,COM,15677J108,48340,1456468,SH,SOLE,1456468,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
6,COUPA SOFTWARE INC,COM,22266L106,141148,2267803,SH,SOLE,2267803,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
7,ELLIE MAE INC,COM,28849P100,44572,429237,SH,SOLE,429237,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
8,FACEBOOK INC,CL A,30303M102,225619,1161069,SH,SOLE,1161069,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
9,HUBSPOT INC,COM,443573100,64123,511345,SH,SOLE,511345,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
10,INTEL CORP,COM,458140100,53044,1067075,SH,SOLE,1067075,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
11,KULICKE & SOFFA INDS INC,COM,501242101,52676,2211415,SH,SOLE,2211415,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
12,LUMENTUM HLDGS INC,COM,55024U109,54446,940341,SH,SOLE,940341,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
13,MATCH GROUP INC,COM,57665R106,68658,1772286,SH,SOLE,1772286,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
14,MICROSOFT CORP,COM,594918104,111006,1125703,SH,SOLE,1125703,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
15,MIMECAST LTD,ORD SHS,G14838109,49705,1206131,SH,SOLE,1206131,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
16,MONGODB INC,CL A,60937P106,190096,3830271,SH,SOLE,3830271,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
17,MONOLITHIC PWR SYS INC,COM,609839105,42410,317275,SH,SOLE,317275,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
18,NETFLIX INC,COM,64110L106,263062,672054,SH,SOLE,672054,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
19,NVIDIA CORP,COM,67066G104,157890,666484,SH,SOLE,666484,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
20,PROOFPOINT INC,COM,743424103,30080,260864,SH,SOLE,260864,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
21,RINGCENTRAL INC,CL A,76680R206,100496,1428520,SH,SOLE,1428520,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
22,ROKU INC,COM CL A,77543R102,31972,750170,SH,SOLE,750170,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
23,SAILPOINT TECHNLGIES HLDGS I,COM,78781P105,39530,1610822,SH,SOLE,1610822,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
24,SCIENTIFIC GAMES CORP,COM,80874P109,128312,2610625,SH,SOLE,2610625,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
25,SHOPIFY INC,CL A,82509L107,207948,1425377,SH,SOLE,1425377,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
26,SPLUNK INC,COM,848637104,31626,319104,SH,SOLE,319104,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
27,SQUARE INC,CL A,852234103,140897,2285810,SH,SOLE,2285810,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
28,TALEND S A,ADS,874224207,182842,2935810,SH,SOLE,2935810,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
29,TWILIO INC,CL A,90138F102,64266,1147204,SH,SOLE,1147204,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
30,VMWARE INC,CL A COM,928563402,116658,793751,SH,SOLE,793751,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
31,ZENDESK INC,COM,98936J101,116425,2136638,SH,SOLE,2136638,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
32,ZILLOW GROUP INC,CL C CAP STK,98954M200,77448,1311348,SH,SOLE,1311348,0,0,2018-06-30,2018Q2,Whale Rock Capital Management LLC,0001387322
