,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3M CO,COM,88579Y101,6598,31753,SH,SOLE,31753,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
1,51JOB INC,SPONSORED ADS,316827104,424,5447,SH,SOLE,5447,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
2,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,2153,12229,SH,SOLE,12229,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
3,ADVANCE AUTO PARTS INC,COM,00751Y106,1587,9308,SH,SOLE,9308,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
4,AFFILIATED MANAGERS GROUP IN,COM,008252108,1861,17374,SH,SOLE,17374,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
5,AGNICO EAGLE MINES LTD,COM,008474108,4949,113796,SH,SOLE,113796,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
6,AKAMAI TECHNOLOGIES INC,COM,00971T101,7258,101210,SH,SOLE,101210,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
7,ALBEMARLE CORP,COM,012653101,1560,19033,SH,SOLE,19033,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
8,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,16646,91238,SH,SOLE,91238,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
9,ALLIANCE DATA SYSTEMS CORP,COM,018581108,45670,261001,SH,SOLE,261001,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
10,ALPHABET INC,CAP STK CL A,02079K305,707,601,SH,SOLE,601,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
11,ALTRIA GROUP INC,COM,02209S103,6232,108515,SH,SOLE,108515,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
12,AMC NETWORKS INC,CL A,00164V103,1487,26191,SH,SOLE,26191,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
13,AMERICAN FINL GROUP INC OHIO,COM,025932104,583,6056,SH,SOLE,6056,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
14,AMERISOURCEBERGEN CORP,COM,03073E105,26510,333371,SH,SOLE,333371,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
15,ANADARKO PETE CORP,COM,032511107,2053,45133,SH,SOLE,45133,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
16,ANALOG DEVICES INC,COM,032654105,3862,36691,SH,SOLE,36691,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
17,ANGLOGOLD ASHANTI LTD,SPONSORED ADR,035128206,855,65255,SH,SOLE,65255,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
18,ANNALY CAP MGMT INC,COM,035710409,3356,335950,SH,SOLE,335950,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
19,ANTHEM INC,COM,036752103,6089,21217,SH,SOLE,21217,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
20,APACHE CORP,COM,037411105,601,17350,SH,SOLE,17350,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
21,AT&T INC,COM,00206R102,27372,872821,SH,SOLE,872821,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
22,AUTOHOME INC,SP ADR RP CL A,05278C107,1470,13983,SH,SOLE,13983,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
23,AUTOMATIC DATA PROCESSING IN,COM,053015103,4226,26455,SH,SOLE,26455,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
24,AUTONATION INC,COM,05329W102,15651,438167,SH,SOLE,438167,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
25,AUTOZONE INC,COM,053332102,1403,1370,SH,SOLE,1370,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
26,B2GOLD CORP,COM,11777Q209,448,160113,SH,SOLE,160113,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
27,BAIDU INC,SPON ADR REP A,056752108,5055,30666,SH,SOLE,30666,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
28,BANK AMER CORP,COM,060505104,4046,146634,SH,SOLE,146634,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
29,BANK MONTREAL QUE,COM,063671101,15686,209582,SH,SOLE,209582,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
30,BANK N S HALIFAX,COM,064149107,22154,416027,SH,SOLE,416027,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
31,BARRICK GOLD CORPORATION,COM,067901108,9212,671783,SH,SOLE,671783,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
32,BAUSCH HEALTH COS INC,COM,071734107,2848,115412,SH,SOLE,115412,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
33,BB&T CORP,COM,054937107,6692,143814,SH,SOLE,143814,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
34,BCE INC,COM NEW,05534B760,11559,260225,SH,SOLE,260225,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
35,BED BATH & BEYOND INC,COM,075896100,26324,1549370,SH,SOLE,1549370,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
36,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,7498,37325,SH,SOLE,37325,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
37,BHP GROUP LTD,SPONSORED ADS,088606108,2857,52253,SH,SOLE,52253,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
38,BIOGEN INC,COM,09062X103,56821,240378,SH,SOLE,240378,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
39,BLACKBERRY LTD,COM,09228F103,1815,180009,SH,SOLE,180009,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
40,BOEING CO,COM,097023105,8719,22860,SH,SOLE,22860,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
41,BOOKING HLDGS INC,COM,09857L108,10738,6154,SH,SOLE,6154,0,0,2019-03-31,2019Q1,"Bridgewater Associates, LP",0001350694
