,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3-D SYS CORP DEL,COM NEW,88554D205,66939,2036483,SH,SOLE,2036483,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
1,51JOB INC,SP ADR REP COM,316827104,33606,937400,SH,SOLE,937400,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
2,58 COM INC,SPON ADR REP A,31680Q104,101798,2450000,SH,SOLE,2450000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
3,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,604483,5815690,SH,SOLE,5815690,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
4,AUTOHOME INC,SP ADR RP CL A,05278C107,317605,8735000,SH,SOLE,8735000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
5,AVIS BUDGET GROUP,COM,053774105,337938,5094800,SH,SOLE,5094800,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
6,BIO-REFERENCE LABS INC,COM $.01 NEW,09057G602,23134,720000,SH,SOLE,720000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
7,BITAUTO HLDGS LTD,SPONSORED ADS,091727107,462242,6565000,SH,SOLE,6565000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
8,CASTLIGHT HEALTH INC,CL B,14862Q100,1346,115000,SH,SOLE,115000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
9,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,320591,1924086,SH,SOLE,1924086,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
10,COLFAX CORP,COM,194014106,212211,4115000,SH,SOLE,4115000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
11,FIREEYE INC,COM,31816Q101,6316,200000,SH,SOLE,200000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
12,FLEETCOR TECHNOLOGIES INC,COM,339041105,438781,2950583,SH,SOLE,2950583,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
13,GAMESTOP CORP NEW,CL A,36467W109,67600,2000000,SH,SOLE,2000000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
14,GOPRO INC,CL A,38268T103,113543,1795992,SH,SOLE,1795992,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
15,GRUBHUB INC,COM,400110102,45037,1240000,SH,SOLE,1240000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
16,HERTZ GLOBAL HOLDINGS INC,COM,42805T105,355644,14260000,SH,SOLE,14260000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
17,HORTONWORKS INC,COM,440894103,3510,130000,SH,SOLE,130000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
18,IDREAMSKY TECHNOLOGY LIMITED,SPONSORED ADS,45173K101,1708,100000,SH,SOLE,100000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
19,JD COM INC,SPON ADR CL A,47215P106,118370,5115392,SH,SOLE,5115392,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
20,KING DIGITAL ENTMT PLC,ORD SHS,G5258J109,76792,4999500,SH,SOLE,4999500,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
21,LENDINGCLUB CORP,COM,52603A109,6958,275000,SH,SOLE,275000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
22,LIBERTY BROADBAND CORP,COM SER C,530307305,119538,2399400,SH,SOLE,2399400,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
23,LIBERTY BROADBAND CORP,RIGHT 01/09/2015,530307115,2090,220001,SH,SOLE,220001,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
24,LIBERTY GLOBAL PLC,SHS CL C,G5480U120,432553,8953698,SH,SOLE,8953698,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
25,LIBERTY INTERACTIVE CORP,LBT VENT COM A,53071M880,199539,5290000,SH,SOLE,5290000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
26,LIBERTY MEDIA CORP DELAWARE,NOTE 1.375%10/1,531229AB8,31984,32500000,PRN,SOLE,32500000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
27,MAKEMYTRIP LIMITED MAURITIUS,SHS,V5633W109,93764,3607688,SH,SOLE,3607688,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
28,MASONITE INTL CORP NEW,COM,575385109,62997,1025000,SH,SOLE,1025000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
29,MASTERCARD INC,CL A,57636Q104,621563,7214060,SH,SOLE,7214060,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
30,MOBILEYE N V AMSTELVEEN,ORD SHS,N51488117,40560,1000000,SH,SOLE,1000000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
31,MOMO INC,ADR,60879B107,21000,1750000,SH,SOLE,1750000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
32,MYRIAD GENETICS INC,COM,62855J104,64714,1900000,SH,SOLE,1900000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
33,NETFLIX INC,COM,64110L106,44409,130000,SH,SOLE,130000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
34,NEW RELIC INC,COM,64829B100,871,25000,SH,SOLE,25000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
35,NIMBLE STORAGE INC,COM,65440R101,6875,250000,SH,SOLE,250000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
36,ON DECK CAP INC,COM,682163100,142431,6350000,SH,SOLE,6350000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
37,ORGANOVO HLDGS INC,COM,68620A104,3625,500000,SH,SOLE,500000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
38,PILGRIMS PRIDE CORP NEW,COM,72147K108,65580,2000000,SH,SOLE,2000000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
39,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,4265,150000,SH,SOLE,150000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
40,RESTAURANT BRANDS INTL INC,COM,76131D103,91549,2345012,SH,SOLE,2345012,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
41,RESTORATION HARDWARE HLDGS I,COM,761283100,306599,3193410,SH,SOLE,3193410,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
42,SANDERSON FARMS INC,COM,800013104,94528,1125000,SH,SOLE,1125000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
43,SIERRA WIRELESS INC,COM,826516106,23695,500000,SH,SOLE,500000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
44,SOLAZYME INC,COM,83415T101,1290,500000,SH,SOLE,500000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
45,SOUFUN HLDGS LTD,ADR,836034108,41138,5566700,SH,SOLE,5566700,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
46,STRATASYS LTD,SHS,M85548101,49866,600000,SH,SOLE,600000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
47,TABLEAU SOFTWARE INC,CL A,87336U105,152992,1805000,SH,SOLE,1805000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
48,TRANSDIGM GROUP INC,COM,893641100,499438,2543612,SH,SOLE,2543612,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
49,TRINA SOLAR LIMITED,SPON ADR,89628E104,23613,2550000,SH,SOLE,2550000,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
50,TRULIA INC,COM,897888103,65998,1433808,SH,SOLE,1433808,0,0,2014-12-31,2014Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
