,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALASKA AIR GROUP INC,Com,011659109,52421,714473,SH,SOLE,714473,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
1,AMAZON COM INC,Com,023135106,798,2000,SH,SOLE,2000,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
2,AMERICAN AIRLS GROUP INC,Com,02376R102,19017,753148,SH,SOLE,753148,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
3,ARUBA NETWORKS INC,Com,043176106,2510,140199,SH,SOLE,140199,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
4,AVIS BUDGET GROUP,Com,053774105,75527,1868543,SH,SOLE,1868543,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
5,BOYD GAMING CORP,Com,103304101,2252,200000,SH,SOLE,200000,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
6,CALLIDUS SOFTWARE INC,Com,13123E500,1537,111942,SH,SOLE,111942,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
7,CHURCHILL DOWNS INC,Com,171484108,1192,13301,SH,SOLE,13301,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
8,CONCUR TECHNOLOGIES INC,Com,206708109,1149,11140,SH,SOLE,11140,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
9,CTRIP COM INTL LTD,American DEP SHS,22943F100,39014,786258,SH,SOLE,786258,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
10,DELTA AIR LINES INC,Com New,247361702,15572,566869,SH,SOLE,566869,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
11,DEMANDWARE,Com,24802Y105,1282,20000,SH,SOLE,20000,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
12,ELONG INC,Sponsored ADR,290138205,1657,80915,SH,SOLE,80915,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
13,EXPEDIA INC DEL,Com New,30212P303,86428,1240719,SH,SOLE,1240719,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
14,FACEBOOK INC,Class A,30303M102,61763,1129945,SH,SOLE,1129945,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
15,FINISAR CORP,Com New,31787A507,4074,170300,SH,SOLE,170300,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
16,GLOBAL EAGLE ENTMT INC,Com,37951D102,1487,100000,SH,SOLE,100000,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
17,GROUPON INC,Com Cl A,399473107,50056,4252874,SH,SOLE,4252874,0,0,2013-12-31,2013Q4,"Altimeter Capital Management, LLC",0001541617
