,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ADOBE SYS INC,COM,00724F101,141184,523000,SH,SOLE,523000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
1,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,1066164,6471010,SH,SOLE,6471010,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
2,AMAZON COM INC,COM,023135106,2397891,1197150,SH,SOLE,1197150,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
3,APOLLO GLOBAL MGMT LLC,CL A SHS,037612306,1189308,34422807,SH,SOLE,34422807,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
4,APPLE INC,COM,037833100,231158,1024000,SH,SOLE,1024000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
5,ATLASSIAN CORP PLC,CL A,G06242104,48070,500000,SH,SOLE,500000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
6,AUTODESK INC,COM,052769106,361789,2317523,SH,SOLE,2317523,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
7,AVALARA INC,COM,05338G106,3493,100000,SH,SOLE,100000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
8,BARCLAYS BK PLC,IPATH S&P500 VIX,06746L422,23512,881575,SH,SOLE,881575,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
9,BILIBILI INC,SPONS ADS REP Z,090040106,78709,5838922,SH,SOLE,5838922,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
10,BOOKING HLDGS INC,COM,09857L108,1311646,661112,SH,SOLE,661112,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
11,BRIGHT SCHOLAR ED HLDGS LTD,SPONSORED ADS,109199109,24987,2016707,SH,SOLE,2016707,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
12,CERIDIAN HCM HLDG INC,COM,15677J108,7145,170000,SH,SOLE,170000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
13,CLOUDERA INC,COM,18914U100,883,50000,SH,SOLE,50000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
14,COUPA SOFTWARE INC,COM,22266L106,111927,1415000,SH,SOLE,1415000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
15,DESPEGAR COM CORP,ORD SHS,G27358103,408232,24198687,SH,SOLE,24198687,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
16,DOCUSIGN INC,COM,256163106,15771,300000,SH,SOLE,300000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
17,DOMINOS PIZZA INC,COM,25754A201,620760,2105700,SH,SOLE,2105700,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
18,DROPBOX INC,CL A,26210C104,5366,200000,SH,SOLE,200000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
19,EVENTBRITE INC,COM CL A,29975E109,545411,14364271,SH,SOLE,14364271,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
20,FACEBOOK INC,CL A,30303M102,759970,4621000,SH,SOLE,4621000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
21,FARFETCH LTD,ORD SH CL A,30744W107,13615,500000,SH,SOLE,500000,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
22,FARMLAND PARTNERS INC,COM,31154R109,298,44502,SH,SOLE,44502,0,0,2018-09-30,2018Q3,TIGER GLOBAL MANAGEMENT LLC,0001167483
