,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3M CO,COM,88579Y101,2901,17586,SH,SOLE,17586,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
1,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,5172,55200,SH,SOLE,55200,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
2,ADOBE SYS INC,COM,00724F101,6370,86152,SH,SOLE,86152,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
3,AFLAC INC,COM,001055102,3385,52885,SH,SOLE,52885,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
4,AGNICO EAGLE MINES LTD,COM,008474108,7977,285491,SH,SOLE,285491,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
5,AGRIUM INC,COM,008916108,20919,200628,SH,SOLE,200628,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
6,AIRGAS INC,COM,009363102,2929,27600,SH,SOLE,27600,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
7,AKAMAI TECHNOLOGIES INC,COM,00971T101,1087,15296,SH,SOLE,15296,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
8,ALASKA AIR GROUP INC,COM,011659109,314,4750,SH,SOLE,4750,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
9,ALCOA INC,COM,013817101,17149,1327300,SH,SOLE,1327300,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
10,ALEXION PHARMACEUTICALS INC,COM,015351109,5043,29099,SH,SOLE,29099,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
11,ALTRIA GROUP INC,COM,02209S103,2606,52100,SH,SOLE,52100,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
12,AMERICAN CAPITAL AGENCY CORP,COM,02503X105,5224,244917,SH,SOLE,244917,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
13,AMERICAN EAGLE OUTFITTERS NE,COM,02553E106,495,29000,SH,SOLE,29000,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
14,AMERICAN ELEC PWR INC,COM,025537101,1750,31116,SH,SOLE,31116,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
15,AMERICAN EXPRESS CO,COM,025816109,3782,48417,SH,SOLE,48417,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
16,AMERICAN TOWER CORP NEW,COM,03027X100,1385,14710,SH,SOLE,14710,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
17,AMERIPRISE FINL INC,COM,03076C106,218,1666,SH,SOLE,1666,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
18,AMERISOURCEBERGEN CORP,COM,03073E105,7802,68633,SH,SOLE,68633,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
19,AMETEK INC NEW,COM,031100100,428,8140,SH,SOLE,8140,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
20,AMGEN INC,COM,031162100,699,4373,SH,SOLE,4373,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
21,AMPHENOL CORP NEW,CL A,032095101,262,4443,SH,SOLE,4443,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
22,ANADARKO PETE CORP,COM,032511107,11320,136700,SH,SOLE,136700,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
23,ANALOG DEVICES INC,COM,032654105,3059,48549,SH,SOLE,48549,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
24,ANGLOGOLD ASHANTI LTD,SPONSORED ADR,035128206,4303,460700,SH,SOLE,460700,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
25,ANNALY CAP MGMT INC,COM,035710409,1619,155700,SH,SOLE,155700,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
26,ANSYS INC,COM,03662Q105,332,3761,SH,SOLE,3761,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
27,ANTHEM INC,COM,036752103,3017,19541,SH,SOLE,19541,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
28,AOL INC,COM,00184X105,408,10300,SH,SOLE,10300,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
29,APACHE CORP,COM,037411105,6286,104200,SH,SOLE,104200,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
30,APPLE INC,COM,037833100,91207,732997,SH,SOLE,732997,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
31,APPLIED MATLS INC,COM,038222105,5788,256551,SH,SOLE,256551,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
32,ARCHER DANIELS MIDLAND CO,COM,039483102,1512,31903,SH,SOLE,31903,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
33,AT&T INC,COM,00206R102,5403,165475,SH,SOLE,165475,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
34,AUTOMATIC DATA PROCESSING IN,COM,053015103,722,8426,SH,SOLE,8426,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
35,AUTOZONE INC,COM,053332102,7618,11168,SH,SOLE,11168,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
36,AVERY DENNISON CORP,COM,053611109,201,3802,SH,SOLE,3802,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
37,AVX CORP NEW,COM,002444107,151,10600,SH,SOLE,10600,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
38,BANK AMER CORP,COM,060505104,235,15291,SH,SOLE,15291,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
39,BARRICK GOLD CORP,COM,067901108,16091,1468200,SH,SOLE,1468200,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
40,BED BATH & BEYOND INC,COM,075896100,9180,119574,SH,SOLE,119574,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
41,BEMIS INC,COM,081437105,217,4690,SH,SOLE,4690,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
42,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,1098,7606,SH,SOLE,7606,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
43,BHP BILLITON LTD,SPONSORED ADR,088606108,13718,295211,SH,SOLE,295211,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
44,BIO TECHNE CORP,COM,09073M104,429,4282,SH,SOLE,4282,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
45,BIOGEN INC,COM,09062X103,8633,20446,SH,SOLE,20446,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
46,BOEING CO,COM,097023105,6447,42956,SH,SOLE,42956,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
47,BOSTON SCIENTIFIC CORP,COM,101137107,1972,111084,SH,SOLE,111084,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
48,BP PLC,SPONSORED ADR,055622104,13829,353600,SH,SOLE,353600,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
49,BRINKER INTL INC,COM,109641100,488,7924,SH,SOLE,7924,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
50,BROADCOM CORP,CL A,111320107,6804,157164,SH,SOLE,157164,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
51,BROCADE COMMUNICATIONS SYS I,COM NEW,111621306,127,10700,SH,SOLE,10700,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
52,BROWN FORMAN CORP,CL B,115637209,577,6391,SH,SOLE,6391,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
53,BUNGE LIMITED,COM,G16962105,452,5491,SH,SOLE,5491,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
54,C H ROBINSON WORLDWIDE INC,COM NEW,12541W209,2762,37726,SH,SOLE,37726,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
55,CABOT CORP,COM,127055101,225,4989,SH,SOLE,4989,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
56,CABOT OIL & GAS CORP,COM,127097103,3263,110500,SH,SOLE,110500,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
57,CAMECO CORP,COM,13321L108,1481,106300,SH,SOLE,106300,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
58,CAMERON INTERNATIONAL CORP,COM,13342B105,580,12865,SH,SOLE,12865,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
59,CANADIAN NAT RES LTD,COM,136385101,9075,296000,SH,SOLE,296000,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
60,CARDINAL HEALTH INC,COM,14149Y108,6319,70000,SH,SOLE,70000,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
61,CARLISLE COS INC,COM,142339100,445,4800,SH,SOLE,4800,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
62,CELANESE CORP DEL,COM SER A,150870103,233,4176,SH,SOLE,4176,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
63,CELGENE CORP,COM,151020104,2801,24296,SH,SOLE,24296,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
64,CENOVUS ENERGY INC,COM,15135U109,3570,211900,SH,SOLE,211900,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
65,CENTERPOINT ENERGY INC,COM,15189T107,585,28670,SH,SOLE,28670,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
66,CENTURYLINK INC,COM,156700106,10561,305677,SH,SOLE,305677,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
67,CERNER CORP,COM,156782104,13661,186470,SH,SOLE,186470,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
68,CF INDS HLDGS INC,COM,125269100,988,3483,SH,SOLE,3483,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
69,CHARLES RIV LABS INTL INC,COM,159864107,373,4700,SH,SOLE,4700,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
70,CHESAPEAKE ENERGY CORP,COM,165167107,6349,448363,SH,SOLE,448363,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
71,CHEVRON CORP NEW,COM,166764100,13805,131500,SH,SOLE,131500,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
72,CHIPOTLE MEXICAN GRILL INC,COM,169656105,4553,6999,SH,SOLE,6999,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
73,CIGNA CORPORATION,COM,125509109,2633,20345,SH,SOLE,20345,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
74,CINTAS CORP,COM,172908105,625,7659,SH,SOLE,7659,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
75,CISCO SYS INC,COM,17275R102,13872,503980,SH,SOLE,503980,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
76,CIT GROUP INC,COM NEW,125581801,307,6800,SH,SOLE,6800,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
77,CITRIX SYS INC,COM,177376100,10668,167028,SH,SOLE,167028,0,0,2015-03-31,2015Q1,"Bridgewater Associates, LP",0001350694
