,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,2U Inc,COM,90214J101,9438,444748,SH,DFND,444748,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
1,Abbott Labs,COM,002824100,62441,791300,SH,DFND,791300,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
2,Activision Blizzard Inc,COM,00507V109,92813,1560400,SH,DFND,1560400,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
3,Adobe Inc,COM,00724F101,19072,59930,SH,DFND,59930,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
4,Alibaba Group Hldg Ltd,SPONSORED ADS,01609W102,80146,412105,SH,DFND,412105,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
5,Alnylam Pharmaceuticals Inc,COM,02043Q107,40102,368419,SH,DFND,368419,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
6,Alphabet Inc,CAP STK CL A,02079K305,162338,139712,SH,DFND,139712,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
7,Amazon Com Inc,COM,023135106,352312,180699,SH,DFND,180699,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
8,Anaplan Inc,COM,03272L108,5167,170763,SH,DFND,170763,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
9,Barrick Gold Corporation,COM,067901108,78256,4271600,SH,DFND,4271600,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
10,Coupa Software Inc,COM,22266L106,13135,94000,SH,DFND,94000,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
11,Crowdstrike Hldgs Inc,CL A,22788C105,8855,159040,SH,DFND,159040,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
12,Datadog Inc,CL A COM,23804L103,929,25810,SH,DFND,25810,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
13,Dish Network Corporation,CL A,25470M109,19312,966100,SH,DFND,966100,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
14,Disney Walt Co,COM DISNEY,254687106,2888,29900,SH,DFND,29900,0,0,2020-03-31,2020Q1,Duquesne Family Office LLC,0001536411
