,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ACTIVISION BLIZZARD INC,COM,00507V109,765928,17289564,SH,SOLE,17289564,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
1,ADOBE SYS INC,COM,00724F101,501235,4617977,SH,SOLE,4617977,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
2,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,544973,5151461,SH,SOLE,5151461,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
3,ALIGN TECHNOLOGY INC,COM,016255101,228461,2436920,SH,SOLE,2436920,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
4,ALPHABET INC,CAP STK CL C,02079K107,655604,843449,SH,SOLE,843449,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
5,AMAZON COM INC,COM,023135106,1082414,1292728,SH,SOLE,1292728,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
6,BARCLAYS BK PLC,IPATH S&P500 VIX,06740Q252,3407,100000,SH,SOLE,100000,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
7,BROADCOM LTD,SHS,Y09827109,449689,2606593,SH,SOLE,2606593,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
8,CHARTER COMMUNICATIONS INC N,CL A,16119P108,1417371,5250106,SH,SOLE,5250106,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
9,CHENIERE ENERGY INC,COM NEW,16411R208,468326,10741417,SH,SOLE,10741417,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
10,COMMSCOPE HLDG CO INC,COM,20337X109,114203,3792871,SH,SOLE,3792871,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
11,CONSTELLATION BRANDS INC,CL A,21036P108,926799,5566692,SH,SOLE,5566692,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
12,DOLLAR TREE INC,COM,256746108,1214950,15392747,SH,SOLE,15392747,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
13,EBAY INC,COM,278642103,1091114,33164569,SH,SOLE,33164569,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
14,ELECTRONIC ARTS INC,COM,285512109,736064,8619020,SH,SOLE,8619020,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
15,EQUINIX INC,COM PAR $0.001,29444U700,648298,1799578,SH,SOLE,1799578,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
16,EXPEDIA INC DEL,COM NEW,30212P303,833770,7143331,SH,SOLE,7143331,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
17,FACEBOOK INC,CL A,30303M102,801231,6246441,SH,SOLE,6246441,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
18,FLEETCOR TECHNOLOGIES INC,COM,339041105,847382,4877583,SH,SOLE,4877583,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
19,GRUPO TELEVISA SA,SPON ADR REP ORD,40049J206,464419,18077811,SH,SOLE,18077811,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
20,HCA HOLDINGS INC,COM,40412C101,126268,1669543,SH,SOLE,1669543,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
21,HDFC BANK LTD,ADR REPS 3 SHS,40415F101,290063,4034823,SH,SOLE,4034823,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
22,HILTON WORLDWIDE HLDGS INC,COM,43300A104,449378,19597829,SH,SOLE,19597829,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
23,INTERCONTINENTAL EXCHANGE IN,COM,45866F104,325179,1207229,SH,SOLE,1207229,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
24,KINDER MORGAN INC DEL,COM,49456B101,285303,12334772,SH,SOLE,12334772,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
25,LULULEMON ATHLETICA INC,COM,550021109,340637,5586042,SH,SOLE,5586042,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
26,MICROSOFT CORP,COM,594918104,836006,14513996,SH,SOLE,14513996,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
27,MOHAWK INDS INC,COM,608190104,235766,1176827,SH,SOLE,1176827,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
28,MONSTER BEVERAGE CORP NEW,COM,61174X109,609187,4149493,SH,SOLE,4149493,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
29,NIKE INC,CL B,654106103,918889,17452774,SH,SOLE,17452774,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
30,PRICELINE GRP INC,COM NEW,741503403,845640,574683,SH,SOLE,574683,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
31,PROSHARES TR II,ULTRA VIX SHORT,74347W254,1665,100000,SH,SOLE,100000,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
32,SEARS HLDGS CORP,COM,812350106,40110,3500000,SH,SOLE,3500000,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
33,SHIRE PLC,SPONSORED ADR,82481R106,328530,1694675,SH,SOLE,1694675,0,0,2016-09-30,2016Q3,LONE PINE CAPITAL LLC,0001061165
