,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ADOBE INC,COM,00724F101,275804,936040,SH,SOLE,936040,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
1,ADVANCE AUTO PARTS INC,COM,00751Y106,247347,1604690,SH,SOLE,1604690,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
2,ADVANCE AUTO PARTS INC,COM,00751Y106,61656,400000,SH,SOLE,400000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
3,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,441861,2607619,SH,SOLE,2607619,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
4,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,159283,940000,SH,SOLE,940000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
5,ALIGN TECHNOLOGY INC,COM,016255101,68425,250000,SH,SOLE,250000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
6,AMAZON COM INC,COM,023135106,886285,468035,SH,SOLE,468035,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
7,ANAPLAN INC,COM,03272L108,175476,3476839,SH,SOLE,3476839,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
8,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,24786,255000,SH,SOLE,255000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
9,BOOKING HLDGS INC,COM,09857L108,65615,35000,SH,SOLE,35000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
10,CAL MAINE FOODS INC,COM NEW,128030202,8344,200000,SH,SOLE,200000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
11,CARVANA CO,CL A,146869102,81367,1300000,SH,SOLE,1300000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
12,CBL & ASSOC PPTYS INC,COM,124830100,1040,1000000,SH,SOLE,1000000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
13,CHEWY INC,CL A,16679L109,49000,1400000,SH,SOLE,1400000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
14,COOPER COS INC,COM NEW,216648402,33689,100000,SH,SOLE,100000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
15,COSTAR GROUP INC,COM,22160N109,171759,310000,SH,SOLE,310000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
16,CROWDSTRIKE HLDGS INC,CL A,22788C105,13658,200000,SH,SOLE,200000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
17,DOMINOS PIZZA INC,COM,25754A201,104355,375000,SH,SOLE,375000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
18,ETSY INC,COM,29786A106,61370,1000000,SH,SOLE,1000000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
19,FACEBOOK INC,CL A,30303M102,86850,450000,SH,SOLE,450000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
20,FERRARI N V,COM,N3167Y103,281977,1746850,SH,SOLE,1746850,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
21,FIDELITY NATL INFORMATION SV,COM,31620M106,73826,601777,SH,SOLE,601777,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
22,FIRST DATA CORP NEW,COM CL A,32008D106,180996,6686228,SH,SOLE,6686228,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
23,FOOT LOCKER INC,COM,344849104,22637,540000,SH,SOLE,540000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
24,GAMESTOP CORP NEW,CL A,36467W109,9846,1800000,SH,SOLE,1800000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
25,GAP INC,COM,364760108,19767,1100000,SH,SOLE,1100000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
26,GARTNER INC,COM,366651107,88517,550000,SH,SOLE,550000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
27,HASBRO INC,COM,418056107,100396,950000,SH,SOLE,950000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
28,HERTZ GLOBAL HLDGS INC,COM,42806J106,39102,2450000,SH,SOLE,2450000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
29,HERTZ GLOBAL HLDGS INC,RIGHT 07/12/2019,42806J114,4778,2450000,SH,SOLE,2450000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
30,HYATT HOTELS CORP,COM CL A,448579102,22839,300000,SH,SOLE,300000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
31,IAA INC,COM,449253103,19390,500000,SH,SOLE,500000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
32,IQVIA HLDGS INC,COM,46266C105,160900,1000000,SH,SOLE,1000000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
33,KOHLS CORP,COM,500255104,45173,950000,SH,SOLE,950000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
34,KROGER CO,COM,501044101,58834,2710000,SH,SOLE,2710000,0,0,2019-06-30,2019Q2,Melvin Capital Management LP,0001628110
