,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,512758,4755245,SH,SOLE,4755245,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
1,ALPHABET INC,CAP STK CL A,02079K305,74903,88350,SH,SOLE,88350,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
2,ALPHABET INC,CAP STK CL C,02079K107,101787,122700,SH,SOLE,122700,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
3,AMAZON COM INC,COM,023135106,1199489,1353000,SH,SOLE,1353000,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
4,AMERICAN TOWER CORP NEW,COM,03027X100,73532,605000,SH,SOLE,605000,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
5,APOLLO GLOBAL MGMT LLC,CL A SHS,037612306,567505,23334899,SH,SOLE,23334899,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
6,ARMSTRONG WORLD INDS INC NEW,COM,04247X102,75752,1645000,SH,SOLE,1645000,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
7,ATLASSIAN CORP PLC,CL A,G06242104,14975,500000,SH,SOLE,500000,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
8,BARCLAYS BK PLC,IPATH S&P500 VIX,06740Q252,19209,1216545,SH,SOLE,1216545,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
9,CHARTER COMMUNICATIONS INC N,CL A,16119P108,512668,1566260,SH,SOLE,1566260,0,0,2017-03-31,2017Q1,TIGER GLOBAL MANAGEMENT LLC,0001167483
