,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0, 58 COM INC, SPON ADR REP A,31680Q104,35541,538831,SH,SOLE,538831,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
1, ACTIVISION BLIZZARD INC, COM,00507V109,41994,1084839,SH,SOLE,1084839,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
2, ADOBE SYS INC, COM,00724F101,41333,439994,SH,SOLE,439994,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
3, ALIBABA GROUP HLDG LTD, SPONSORED ADS,01609W102,20596,253421,SH,SOLE,253421,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
4, ALPHABET INC, CAP STK CL C,02079K107,29279,38582,SH,SOLE,38582,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
5, ALPHABET INC, CAP STK CL A,02079K305,49837,64057,SH,SOLE,64057,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
6, AMAZON COM INC, COM,023135106,134633,199193,SH,SOLE,199193,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
7, ANALOG DEVICES INC, COM,032654105,39539,714737,SH,SOLE,714737,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
8, APPLE INC, COM,037833100,35621,338408,SH,SOLE,338408,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
9, APPLIED OPTOELECTRONICS INC, COM,03823U102,17206,1002684,SH,SOLE,1002684,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
10, ATLASSIAN CORP PLC, CL A,G06242104,19552,650000,SH,SOLE,650000,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
11, AVAGO TECHNOLOGIES LTD, SHS,Y0486S104,14111,97214,SH,SOLE,97214,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
12, ELECTRONIC ARTS INC, COM,285512109,34295,499061,SH,SOLE,499061,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
13, ELLIE MAE INC, COM,28849P100,76484,1269870,SH,SOLE,1269870,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
14, EPAM SYS INC, COM,29414B104,31967,406600,SH,SOLE,406600,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
15, FACEBOOK INC, CL A,30303M102,60379,576903,SH,SOLE,576903,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
16, INPHI CORP, COM,45772F107,12629,467382,SH,SOLE,467382,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
17, JD COM INC, SPON ADR CL A,47215P106,25908,802990,SH,SOLE,802990,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
18, LENDINGTREE INC NEW, COM,52603B107,3298,36937,SH,SOLE,36937,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
19, MAXLINEAR INC, CL A,57776J100,20960,1422965,SH,SOLE,1422965,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
20, MONOLITHIC PWR SYS INC, COM,609839105,11705,183724,SH,SOLE,183724,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
21, NETEASE INC, SPONSORED ADR,64110W102,103909,573323,SH,SOLE,573323,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
22, NETFLIX INC, COM,64110L106,38095,333059,SH,SOLE,333059,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
23, NEW RELIC INC, COM,64829B100,15036,412734,SH,SOLE,412734,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
24, NVIDIA CORP, COM,67066G104,20749,629513,SH,SOLE,629513,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
25, OCLARO INC, COM NEW,67555N206,18242,5241989,SH,SOLE,5241989,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
26, PALO ALTO NETWORKS INC, COM,697435105,29961,170100,SH,SOLE,170100,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
27, QORVO INC, COM,74736K101,12745,250387,SH,SOLE,250387,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
28, SALESFORCE COM INC, COM,79466L302,42053,536393,SH,SOLE,536393,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
29, SHOPIFY INC, CL A,82509L107,19442,753569,SH,SOLE,753569,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
30, TABLEAU SOFTWARE INC, CL A,87336U105,10168,107914,SH,SOLE,107914,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
31, WAYFAIR INC, CL A,94419L101,34407,722541,SH,SOLE,722541,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
32, ZENDESK INC, COM,98936J101,99181,3751158,SH,SOLE,3751158,0,0,2015-12-31,2015Q4,Whale Rock Capital Management LLC,0001387322
