,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ACACIA COMMUNICATIONS INC,COM,00401C108,6389,61864,SH,DFND,61864,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
1,ACTIVISION BLIZZARD INC,COM,00507V109,479112,10815176,SH,DFND,10815176,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
2,ACTIVISION BLIZZARD INC,COM,00507V109,34753,784486,SH,DFND,784486,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
3,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,272700,2577745,SH,DFND,2577745,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
4,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,21856,206601,SH,DFND,206601,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
5,ALLEGIANT TRAVEL CO,COM,01748X102,21312,161372,SH,DFND,161372,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
6,ALPHABET INC,CAP STK CL A,02079K305,115441,143572,SH,DFND,143572,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
7,ALPHABET INC,CAP STK CL C,02079K107,423716,545120,SH,DFND,545120,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
8,ALPHABET INC,CAP STK CL A,02079K305,8570,10659,SH,DFND,10659,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
9,ALPHABET INC,CAP STK CL C,02079K107,31549,40589,SH,DFND,40589,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
10,AMAZON COM INC,COM,023135106,231047,275940,SH,DFND,275940,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
11,AMAZON COM INC,COM,023135106,17709,21150,SH,DFND,21150,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
12,AMBARELLA INC,SHS,G037AX101,59369,806537,SH,DFND,806537,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
13,AMERICAN TOWER CORP NEW,COM,03027X100,165392,1459388,SH,DFND,1459388,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
14,AMERICAN TOWER CORP NEW,COM,03027X100,13053,115174,SH,DFND,115174,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
15,APPLE INC,COM,037833100,679415,6009860,SH,DFND,6009860,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
16,APPLE INC,COM,037833100,55633,492114,SH,DFND,492114,0,0,2016-09-30,2016Q3,COATUE MANAGEMENT LLC,0001135730
