,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,137053,793542,SH,SOLE,793542,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
1,ALPHABET INC,CAP STK CL A,02079K305,87136,89488,SH,SOLE,89488,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
2,AMAZON COM INC,COM,023135106,170652,177513,SH,SOLE,177513,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
3,APPIAN CORP,CL A,03782L101,6957,244457,SH,SOLE,244457,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
4,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,66938,390995,SH,SOLE,390995,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
5,BLACKLINE INC,COM,09239B109,23688,694270,SH,SOLE,694270,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
6,COGNEX CORP,COM,192422103,49839,451928,SH,SOLE,451928,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
7,ELLIE MAE INC,COM,28849P100,73801,898591,SH,SOLE,898591,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
8,FACEBOOK INC,CL A,30303M102,128084,749598,SH,SOLE,749598,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
9,HIMAX TECHNOLOGIES INC,SPONSORED ADR,43289P106,18949,1733687,SH,SOLE,1733687,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
10,HIMAX TECHNOLOGIES INC,CALL,43289P906,27325,2500000,SH,SOLE,2500000,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
11,INSTRUCTURE INC,COM,45781U103,25407,766423,SH,SOLE,766423,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
12,KULICKE & SOFFA INDS INC,COM,501242101,61608,2856179,SH,SOLE,2856179,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
13,LAM RESEARCH CORP,COM,512807108,88959,480753,SH,SOLE,480753,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
14,LUMENTUM HLDGS INC,COM,55024U109,86436,1590359,SH,SOLE,1590359,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
15,MERCADOLIBRE INC,COM,58733R102,48097,185754,SH,SOLE,185754,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
16,MICRON TECHNOLOGY INC,COM,595112103,24369,619615,SH,SOLE,619615,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
17,MONOLITHIC PWR SYS INC,COM,609839105,26394,247711,SH,SOLE,247711,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
18,MULESOFT INC,CL A,625207105,1963,97465,SH,SOLE,97465,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
19,NETEASE INC,SPONSORED ADR,64110W102,54465,206454,SH,SOLE,206454,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
20,NETFLIX INC,COM,64110L106,74401,410262,SH,SOLE,410262,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
21,NVIDIA CORP,COM,67066G104,93171,521180,SH,SOLE,521180,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
22,OKTA INC,CL A,679295105,2673,94745,SH,SOLE,94745,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
23,PEGASYSTEMS INC,COM,705573103,59351,1029502,SH,SOLE,1029502,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
24,RINGCENTRAL INC,CL A,76680R206,41875,1002993,SH,SOLE,1002993,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
25,ROKU INC,COM CL A,77543R102,1327,50000,SH,SOLE,50000,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
26,SCIENTIFIC GAMES CORP,CL A,80874P109,95986,2093468,SH,SOLE,2093468,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
27,SHOPIFY INC,CL A,82509L107,154181,1323557,SH,SOLE,1323557,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
28,SQUARE INC,CL A,852234103,44337,1538955,SH,SOLE,1538955,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
29,STAMPS COM INC,COM NEW,852857200,28453,140407,SH,SOLE,140407,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
30,TESLA INC,COM,88160R101,53441,156672,SH,SOLE,156672,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
31,YY INC,ADS REPCOM CLA,98426T106,23847,274795,SH,SOLE,274795,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
32,ZENDESK INC,COM,98936J101,42219,1450324,SH,SOLE,1450324,0,0,2017-09-30,2017Q3,Whale Rock Capital Management LLC,0001387322
