,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,Abcellera Biologics Inc,COM,00288U106,22405,659750,SH,DFND,659750,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
1,Alcoa Corp,COM,013872106,35804,1102000,SH,DFND,1102000,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
2,Alphabet Inc,CAP STK CL A,02079K305,64262,31157,SH,DFND,31157,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
3,Amazon Com Inc,COM,023135106,234061,75648,SH,DFND,75648,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
4,Array Technologies Inc,COM SHS,04271T100,15454,518250,SH,DFND,518250,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
5,Barrick Gold Corp,COM,067901108,71416,3606850,SH,DFND,3606850,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
6,Booking Holdings Inc,COM,09857L108,69672,29904,SH,DFND,29904,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
7,Builders Firstsource Inc,COM,12008R107,61003,1315579,SH,DFND,1315579,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
8,Canadian Pac Ry Ltd,COM,13645T100,5318,13922,SH,DFND,13922,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
9,Carvana Co,CL A,146869102,56119,213867,SH,DFND,213867,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
10,Caterpillar Inc,COM,149123101,36264,156400,SH,DFND,156400,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
11,Citigroup Inc,COM NEW,172967424,154587,2124909,SH,DFND,2124909,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
12,Cloudflare Inc,CL A COM,18915M107,6797,96738,SH,DFND,96738,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
13,Coupang Inc,CL A,22266T109,35250,714285,SH,DFND,714285,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
14,Cummins Inc,COM,231021106,84139,324725,SH,DFND,324725,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
15,Dbx Etf Tr,XTRACK HRVST CSI,233051879,35372,915910,SH,DFND,915910,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
16,Dish Network Corporation,CL A,25470M109,4069,112400,SH,DFND,112400,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
17,Dragoneer Growth Opportun Co,COM CL A,G28302100,2861,281879,SH,DFND,281879,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
18,Expedia Group Inc,COM NEW,30212P303,76265,443094,SH,DFND,443094,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
19,Facebook Inc,CL A,30303M102,54610,185414,SH,DFND,185414,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
20,Fidelity Natl Information Sv,COM,31620M106,28776,204650,SH,DFND,204650,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
21,First Horizon Corporation,COM,320517105,33045,1954150,SH,DFND,1954150,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
22,First Solar Inc,COM,336433107,20906,239475,SH,DFND,239475,0,0,2021-03-31,2021Q1,Duquesne Family Office LLC,0001536411
