,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,58 COM INC,SPON ADR REP A,31680Q104,194206,2638675,SH,SOLE,2638675,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
1,ACCELERON PHARMA INC,COM,00434H108,46562,813600,SH,SOLE,813600,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
2,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,69364,421002,SH,SOLE,421002,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
3,ALPHABET INC,CAP STK CL C,02079K107,6393,5357,SH,SOLE,5357,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
4,AMAZON COM INC,COM,023135106,7031,3510,SH,SOLE,3510,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
5,APELLIS PHARMACEUTICALS INC,COM,03753U106,76957,4328289,SH,SOLE,4328289,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
6,APPLE INC,COM,037833100,14512,64287,SH,SOLE,64287,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
7,ARCUS BIOSCIENCES INC,COM,03969F109,10694,767128,SH,SOLE,767128,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
8,ARVINAS INC,COM,04335A105,14429,855308,SH,SOLE,855308,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
9,BEIGENE LTD,SPONSORED ADR,07725L102,942432,5472259,SH,SOLE,5472259,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
10,BERKSHIRE HATHAWAY INC DEL,CL A,084670108,16320,51,SH,SOLE,51,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
11,BILIBILI INC,SPONS ADS REP Z,090040106,190,14061,SH,SOLE,14061,0,0,2018-09-30,2018Q3,"Hillhouse Capital Management, Ltd.",0001510589
