,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALLISON TRANSMISSION HLDGS I,COM,01973R101,19548,708000,SH,SOLE,708000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
1,AMAZON COM INC,COM,023135106,329201,825500,SH,SOLE,825500,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
2,AUTOHOME INC,SP ADR RP CL A,05278C107,15583,425873,SH,SOLE,425873,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
3,BIO-REFERENCE LABS INC,COM $.01 NEW,09057G602,18389,720000,SH,SOLE,720000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
4,BITAUTO HLDGS LTD,SPONSORED ADS,091727107,27869,872000,SH,SOLE,872000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
5,BURGER KING WORLDWIDE INC,COM,121220107,164592,7200000,SH,SOLE,7200000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
6,BURLINGTON STORES INC,COM,122017106,3200,100000,SH,SOLE,100000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
7,CARTER INC,COM,146229109,405831,5653031,SH,SOLE,5653031,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
8,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,46562,340463,SH,SOLE,340463,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
9,COCA COLA ENTERPRISES INC NE,COM,19122T109,346105,7842850,SH,SOLE,7842850,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
10,COLFAX CORP,COM,194014106,228325,3584937,SH,SOLE,3584937,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
11,COMCAST CORP NEW,CL A,20030N101,189549,3647631,SH,SOLE,3647631,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
12,CRITEO S A,SPONS ADS,226718104,1368,40000,SH,SOLE,40000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
13,DELIA'S INC NEW,COM,246911101,2991,3400000,SH,SOLE,3400000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
14,DOLLAR GEN CORP NEW,COM,256677105,476146,7893663,SH,SOLE,7893663,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
15,EXONE CO,COM,302104104,40206,665000,SH,SOLE,665000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
16,FIDELITY NATL INFORMATION SV,COM,31620M106,337771,6292314,SH,SOLE,6292314,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
17,58 COM INC,SPON ADR REP A,31680Q104,11502,300000,SH,SOLE,300000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
18,FIREEYE INC,COM,31816Q101,8722,200000,SH,SOLE,200000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
19,FLEETCOR TECHNOLOGIES INC,COM,339041105,239738,2046067,SH,SOLE,2046067,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
20,GAP INC DEL,COM,364760108,78355,2005000,SH,SOLE,2005000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
21,GRACE W R & CO DEL NEW,COM,38388F108,61105,618034,SH,SOLE,618034,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
22,GROUPON INC,COM CL A,399473107,134871,11463759,SH,SOLE,11463759,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
23,IAC INTERACTIVECORP,COM PAR $.001,44919P508,16133,235000,SH,SOLE,235000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
24,LIBERTY GLOBAL PLC,SHS CL C,G5480U120,391180,4639233,SH,SOLE,4639233,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
25,LIBERTY INTERACTIVE CORP,LBT VENT COM A,53071M880,71102,580000,SH,SOLE,580000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
26,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,133771,914410,SH,SOLE,914410,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
27,MAKEMYTRIP LIMITED MAURITIUS,SHS,V5633W109,138381,7184866,SH,SOLE,7184866,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
28,MASTERCARD INC,CL A,57636Q104,292411,350000,SH,SOLE,350000,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
29,MOTOROLA SOLUTIONS INC,COM NEW,620076307,201604,2986721,SH,SOLE,2986721,0,0,2013-12-31,2013Q4,TIGER GLOBAL MANAGEMENT LLC,0001167483
