,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALASKA AIR GROUP INC,Com,011659109,59438,902489,SH,SOLE,902489,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
1,ALLEGIANT TRAVEL CO,Com,01748X102,680,5150,SH,SOLE,5150,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
2,AMERICAN AIRLS GROUP INC,Com,02376R102,31119,850000,SH,SOLE,850000,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
3,CTRIP COM INTL LTD,American Dep Shs,22943F100,59936,1287009,SH,SOLE,1287009,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
4,DELTA AIR LINES INC DEL,Com New,247361702,33986,863455,SH,SOLE,863455,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
5,EXPEDIA INC DEL,Com New,30212P303,525020,4498111,SH,SOLE,4498111,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
6,EXPEDIA INC DEL,Call,30212P303,590,500,SH,SOLE,500,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
7,NETFLIX INC,Com,64110L106,12319,125000,SH,SOLE,125000,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
8,NUTANIX INC,Cl A,67059N108,2590,70000,SH,SOLE,70000,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
9,PURE STORAGE INC,Cl A,74624M102,55117,4067691,SH,SOLE,4067691,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
10,TABLEAU SOFTWARE INC,Cl A,87336U105,61983,1121451,SH,SOLE,1121451,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
11,PRICELINE GRP INC,Com New,741503403,60405,41050,SH,SOLE,41050,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
12,UNITED CONTL HLDGS INC,Com,910047109,603891,11509268,SH,SOLE,11509268,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
13,UNITED CONTL HLDGS INC,Call,910047109,420,4377,SH,SOLE,4377,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
14,ZILLOW GROUP INC,Cl A,98954M101,12682,368142,SH,SOLE,368142,0,0,2016-09-30,2016Q3,"Altimeter Capital Management, LP",0001541617
