,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALPHABET INC,CAP STK CL C,02079K107,39408,36458,SH,SOLE,36458,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
1,ANSYS INC,COM,03662Q105,18550,90565,SH,SOLE,90565,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
2,AVALARA INC,COM,05338G106,78934,1093272,SH,SOLE,1093272,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
3,CIMPRESS N V,SHS EURO,N20146101,25618,281853,SH,SOLE,281853,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
4,DESPEGAR COM CORP,ORD SHS,G27358103,43157,3107036,SH,SOLE,3107036,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
5,EBAY INC,COM,278642103,34057,862208,SH,SOLE,862208,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
6,FACEBOOK INC,CL A,30303M102,94831,491351,SH,SOLE,491351,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
7,PAYPAL HLDGS INC,COM,70450Y103,35969,314249,SH,SOLE,314249,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
8,THE TRADE DESK INC,COM CL A,88339J105,17074,74957,SH,SOLE,74957,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
9,WIX COM LTD,SHS,M98068105,59790,420761,SH,SOLE,420761,0,0,2019-06-30,2019Q2,"Dorsey Asset Management, LLC",0001671657
