,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ACTIVISION BLIZZARD INC,COM,00507V109,30224,525000,SH,SOLE,525000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
1,AERIE PHARMACEUTICALS INC,COM,00771V108,9974,189799,SH,SOLE,189799,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
2,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,520473,3693918,SH,SOLE,3693918,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
3,ALLERGAN PLC,SHS,G0177J108,610063,2509619,SH,SOLE,2509619,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
4,ALLSTATE CORP,COM,020002101,150375,1700300,SH,SOLE,1700300,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
5,ALLY FINL INC,COM,02005N100,22945,1097824,SH,SOLE,1097824,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
6,ALPHABET INC,CAP STK CL C,02079K107,531607,585000,SH,SOLE,585000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
7,ALTABA INC,COM,021346101,279431,5129051,SH,SOLE,5129051,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
8,ANTERO RES CORP,COM,03674X106,10805,500000,SH,SOLE,500000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
9,APPLE INC,COM,037833100,90013,625000,SH,SOLE,625000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
10,ATLANTICA YIELD PLC,SHS,G0751N103,100392,4700000,SH,SOLE,4700000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
11,BANK AMER CORP,COM,060505104,213067,8782641,SH,SOLE,8782641,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
12,BOSTON SCIENTIFIC CORP,COM,101137107,62783,2264900,SH,SOLE,2264900,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
13,CBS CORP NEW,CL B,124857202,65874,1032836,SH,SOLE,1032836,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
14,CEMEX SAB DE CV,SPON ADR NEW,151290889,37589,3990309,SH,SOLE,3990309,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
15,CENTENE CORP DEL,COM,15135B101,77036,964397,SH,SOLE,964397,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
16,CHESAPEAKE ENERGY CORP,COM,165167107,17723,3566000,SH,SOLE,3566000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
17,DELTA AIR LINES INC DEL,COM NEW,247361702,44735,832438,SH,SOLE,832438,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
18,DOLLAR GEN CORP NEW,COM,256677105,67417,935178,SH,SOLE,935178,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
19,ENERGY TRANSFER EQUITY L P,COM UT LTD PTN,29273V100,51096,2845000,SH,SOLE,2845000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
20,ENERGY TRANSFER PARTNERS LP,UNIT LTD PRT INT,29278N103,302613,14841247,SH,SOLE,14841247,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
21,EXPEDIA INC DEL,COM NEW,30212P303,29790,200000,SH,SOLE,200000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
22,FACEBOOK INC,CL A,30303M102,355742,2356218,SH,SOLE,2356218,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
23,GENERAL MTRS CO,COM,37045V100,66367,1900000,SH,SOLE,1900000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
24,HAIN CELESTIAL GROUP INC,COM,405217100,4554,117300,SH,SOLE,117300,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
25,HAIN CELESTIAL GROUP INC,COM,405217100,35801,922228,SH,SOLE,922228,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
26,HCA HEALTHCARE INC,COM,40412C101,14624,167711,SH,SOLE,167711,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
27,HUNTSMAN CORP,COM,447011107,138492,5359579,SH,SOLE,5359579,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
28,ISHARES TR,NASDQ BIOTEC ETF,464287556,72869,235000,SH,SOLE,235000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
29,KAYNE ANDERSON MLP INVT CO,COM,486606106,2827,150000,SH,SOLE,150000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
30,KENNAMETAL INC,COM,489170100,49725,1328824,SH,SOLE,1328824,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
31,KINDER MORGAN INC DEL,COM,49456B101,75548,3942996,SH,SOLE,3942996,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
32,L BRANDS INC,COM,501797104,45030,835592,SH,SOLE,835592,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
33,MICRON TECHNOLOGY INC,COM,595112103,385194,12900000,SH,SOLE,12900000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
34,MOHAWK INDS INC,COM,608190104,112076,463719,SH,SOLE,463719,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
35,NRG ENERGY INC,COM NEW,629377508,21525,1250000,SH,SOLE,1250000,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
36,NUCOR CORP,COM,670346105,8290,143254,SH,SOLE,143254,0,0,2017-06-30,2017Q2,APPALOOSA LP,0001656456
