,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,Adobe Systems Inc,COM,00724F101,20167,336800,SH,DFND,336800,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
1,Alcoa Inc.,COM,013817101,42520,4000000,SH,DFND,4000000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
2,Amazon.com Inc.,COM,023135106,62889,157700,SH,DFND,157700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
3,Amgen Inc.,COM,031162100,26352,231000,SH,DFND,231000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
4,Astrazeneca PLC,SPONS ADR,046353108,21403,360500,SH,DFND,360500,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
5,Baker Hughes Inc.,COM,057224107,14810,268000,SH,DFND,268000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
6,Biogen Idec Inc.,COM,09062X103,25581,91500,SH,DFND,91500,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
7,Boeing Co,COM,097023105,13540,99200,SH,DFND,99200,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
8,Bristol-Myers Squibb Co,COM,110122108,50716,954200,SH,DFND,954200,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
9,CBS Corp,CL B,124857202,30704,481700,SH,DFND,481700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
10,Cheniere Energy Inc.,CL B,16411R208,13074,303200,SH,DFND,303200,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
11,Crwn Castle Int'l Corp.,COM,228227104,39667,540200,SH,DFND,540200,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
12,Cubist Pharms Inc.,COM,229678107,28443,413000,SH,DFND,413000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
13,Delta Air Lines Inc.,CL B,247361702,85432,3110000,SH,DFND,3110000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
14,DISH Network Corp,CL A,25470M109,29829,515000,SH,DFND,515000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
15,EQT Corp,COM,26884L109,25578,284900,SH,DFND,284900,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
16,Endo Health Sol'ns Inc.,COM,29264F205,35551,527000,SH,DFND,527000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
17,Federal Express Corp.,COM,31428X106,51312,356900,SH,DFND,356900,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
18,Gilead Sciences Inc.,COM,375558103,45864,610700,SH,DFND,610700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
19,Google Inc.,CL A,38259P508,261406,233250,SH,DFND,233250,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
20,Halliburton Co,COM,406216101,41955,826700,SH,DFND,826700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
21,Illumina Inc.,COM,452327109,56036,506700,SH,DFND,506700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
22,JetBlue Airways Corp,COM,477143101,8540,1000000,SH,DFND,1000000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
23,Johnson & Johnson,COM,478160104,21524,235000,SH,DFND,235000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
24,Marathon Petroleum Corp,COM,56585A102,28978,315900,SH,DFND,315900,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
25,Pioneer Nat'l Res's Co,COM,723787107,36409,197800,SH,DFND,197800,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
26,SBA Comms Corp,COM,78388J106,35702,397400,SH,DFND,397400,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
27,SPDR S&P 500 ETF Trust,TR UNIT,78462F103,10046,54400,SH,DFND,54400,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
28,Schlumberger Ltd.,COM,806857108,89479,993000,SH,DFND,993000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
29,Hlth Car Select Sctr SPDR Fnd,SBI HLTHCAR,81369Y209,10439,188300,SH,DFND,188300,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
30,Cons Disc Sel Sctr SPDR Fnd,SBI CONS DISCR,81369Y407,11415,170800,SH,DFND,170800,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
31,Fin'l Select Sctr SPDR Fnd,SBI INT-FINL,81369Y605,15280,699000,SH,DFND,699000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
32,Ind'l Select Sctr SPDR Fnd,SBI INT-INDS,81369Y704,11649,222900,SH,DFND,222900,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
33,Tech Car Select Sctr SPDR Fnd,SBI TECH,81369Y803,10211,285700,SH,DFND,285700,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
34,Sunpower Corp,COM,867652406,13191,442500,SH,DFND,442500,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
35,Teva Pharm Ind's Ltd,ADR,881624209,49739,1241000,SH,DFND,1241000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
36,Towers Watson & Co.,CL A,891894107,11268,88300,SH,DFND,88300,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
37,Valero Energy Corp,COM,91913Y100,29177,578900,SH,DFND,578900,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
38,The Wendy's Co,COM,95058W100,17440,2000000,SH,DFND,2000000,0,0,2013-12-31,2013Q4,Duquesne Family Office LLC,0001536411
