,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3-D SYS CORP DEL,COM NEW,88554D205,10681,230341,SH,SOLE,230341,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
1,3-D SYS CORP DEL,COM NEW,88554D205,59363,1280207,SH,DFND,1280207,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
2,58 COM INC,SPON ADR REP A,31680Q104,10942,293751,SH,SOLE,293751,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
3,ADOBE SYS INC,COM,00724F101,63774,921719,SH,SOLE,921719,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
4,ADOBE SYS INC,COM,00724F101,282894,4088659,SH,DFND,4088659,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
5,AKAMAI TECHNOLOGIES INC,COM,00971T101,49785,832526,SH,SOLE,832526,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
6,AKAMAI TECHNOLOGIES INC,COM,00971T101,145060,2425756,SH,DFND,2425756,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
7,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,24469,275402,SH,SOLE,275402,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
8,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,104363,1174598,SH,DFND,1174598,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
9,AMAZON COM INC,COM,023135106,2077,6443,SH,SOLE,6443,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
10,AMAZON COM INC,COM,023135106,81121,251584,SH,DFND,251584,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
11,AMERICAN TOWER CORP NEW,COM,03027X100,2223,23745,SH,SOLE,23745,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
12,AMERICAN TOWER CORP NEW,COM,03027X100,141344,1509603,SH,DFND,1509603,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
13,APPLE INC,COM,037833100,202930,2014194,SH,SOLE,2014194,0,0,2014-09-30,2014Q3,COATUE MANAGEMENT LLC,0001135730
