,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ACUITY BRANDS INC,COM,00508Y102,785,5640,SH,SOLE,5640,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
1,ADOBE SYS INC,COM,00724F101,273,1265,SH,SOLE,1265,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
2,ADTALEM GLOBAL ED INC,COM,00737L103,331,6957,SH,SOLE,6957,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
3,AES CORP,COM,00130H105,570,50148,SH,SOLE,50148,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
4,AFLAC INC,COM,001055102,841,19213,SH,SOLE,19213,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
5,AGCO CORP,COM,001084102,1568,24172,SH,SOLE,24172,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
6,AGNICO EAGLE MINES LTD,COM,008474108,2942,69943,SH,SOLE,69943,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
7,ALBEMARLE CORP,COM,012653101,508,5478,SH,SOLE,5478,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
8,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,1584,12680,SH,SOLE,12680,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
9,ALIGN TECHNOLOGY INC,COM,016255101,975,3881,SH,SOLE,3881,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
10,ALLEGHANY CORP DEL,COM,017175100,897,1460,SH,SOLE,1460,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
11,ALLEGION PUB LTD CO,ORD SHS,G0176J109,884,10370,SH,SOLE,10370,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
12,ALLIANCE DATA SYSTEMS CORP,COM,018581108,32252,151517,SH,SOLE,151517,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
13,ALLIANT ENERGY CORP,COM,018802108,573,14025,SH,SOLE,14025,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
14,ALLSTATE CORP,COM,020002101,4863,51300,SH,SOLE,51300,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
15,AMC NETWORKS INC,CL A,00164V103,1619,31318,SH,SOLE,31318,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
16,AMEREN CORP,COM,023608102,575,10147,SH,SOLE,10147,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
17,AMERICAN CAMPUS CMNTYS INC,COM,024835100,783,20262,SH,SOLE,20262,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
18,AMERICAN EXPRESS CO,COM,025816109,2559,27430,SH,SOLE,27430,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
19,AMERICAN FINL GROUP INC OHIO,COM,025932104,254,2259,SH,SOLE,2259,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
20,AMERICAN WTR WKS CO INC NEW,COM,030420103,572,6964,SH,SOLE,6964,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
21,AMERIPRISE FINL INC,COM,03076C106,934,6311,SH,SOLE,6311,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
22,AMERISOURCEBERGEN CORP,COM,03073E105,16995,197132,SH,SOLE,197132,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
23,AMGEN INC,COM,031162100,10655,62499,SH,SOLE,62499,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
24,ANADARKO PETE CORP,COM,032511107,1304,21579,SH,SOLE,21579,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
25,ANALOG DEVICES INC,COM,032654105,329,3614,SH,SOLE,3614,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
26,ANDEAVOR,COM,03349M105,6848,68095,SH,SOLE,68095,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
27,ANGLOGOLD ASHANTI LTD,SPONSORED ADR,035128206,673,70896,SH,SOLE,70896,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
28,ANSYS INC,COM,03662Q105,2429,15502,SH,SOLE,15502,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
29,ANTHEM INC,COM,036752103,1646,7493,SH,SOLE,7493,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
30,APACHE CORP,COM,037411105,595,15455,SH,SOLE,15455,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
31,APARTMENT INVT & MGMT CO,CL A,03748R101,783,19204,SH,SOLE,19204,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
32,APPLE INC,COM,037833100,6561,39105,SH,SOLE,39105,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
33,APTARGROUP INC,COM,038336103,1428,15902,SH,SOLE,15902,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
34,AQUA AMERICA INC,COM,03836W103,573,16815,SH,SOLE,16815,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
35,ASSURED GUARANTY LTD,COM,G0585R106,257,7101,SH,SOLE,7101,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
36,AT&T INC,COM,00206R102,37443,1050303,SH,SOLE,1050303,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
37,ATMOS ENERGY CORP,COM,049560105,563,6678,SH,SOLE,6678,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
38,AUTOMATIC DATA PROCESSING IN,COM,053015103,5545,48862,SH,SOLE,48862,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
39,AUTOZONE INC,COM,053332102,9475,14607,SH,SOLE,14607,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
40,AVERY DENNISON CORP,COM,053611109,2972,27973,SH,SOLE,27973,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
41,AVX CORP NEW,COM,002444107,369,22310,SH,SOLE,22310,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
42,B2GOLD CORP,COM,11777Q209,448,163648,SH,SOLE,163648,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
43,BALL CORP,COM,058498106,1404,35352,SH,SOLE,35352,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
44,BANK AMER CORP,COM,060505104,1823,60799,SH,SOLE,60799,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
45,BANK MONTREAL QUE,COM,063671101,5482,72617,SH,SOLE,72617,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
46,BANK N S HALIFAX,COM,064149107,9328,151531,SH,SOLE,151531,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
47,BARRICK GOLD CORP,COM,067901108,1965,157876,SH,SOLE,157876,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
48,BB&T CORP,COM,054937107,1547,29719,SH,SOLE,29719,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
49,BCE INC,COM NEW,05534B760,3527,82031,SH,SOLE,82031,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
50,BED BATH & BEYOND INC,COM,075896100,31403,1496117,SH,SOLE,1496117,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
51,BHP BILLITON LTD,SPONSORED ADR,088606108,2857,64296,SH,SOLE,64296,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
52,BIO RAD LABS INC,CL A,090572207,903,3609,SH,SOLE,3609,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
53,BIO TECHNE CORP,COM,09073M104,1294,8567,SH,SOLE,8567,0,0,2018-03-31,2018Q1,"Bridgewater Associates, LP",0001350694
