,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,DEERE & CO,COM,244199105,136620,1666300,SH,DFND,1666300,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
1,DEERE & CO,COM,244199105,189599,2312467,SH,DFND,2312467,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
2,DEERE & CO,COM,244199105,294232,3588630,SH,DFND,3588630,0,0,2014-09-30,2014Q3,Berkshire Hathaway Inc,0001067983
