,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3-D SYS CORP DEL,COM NEW,88554D205,13349,486818,SH,DFND,486818,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
1,3-D SYS CORP DEL,COM NEW,88554D205,1263,46071,SH,DFND,46071,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
2,ACTAVIS PLC,SHS,G0083B108,23149,77781,SH,DFND,77781,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
3,ACTAVIS PLC,SHS,G0083B108,314115,1055423,SH,DFND,1055423,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
4,ACTAVIS PLC,SHS,G0083B108,56026,188246,SH,DFND,188246,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
5,ACTIVISION BLIZZARD INC,COM,00507V109,11355,499673,SH,DFND,499673,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
6,ACTIVISION BLIZZARD INC,COM,00507V109,121386,5341506,SH,DFND,5341506,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
7,ACTIVISION BLIZZARD INC,COM,00507V109,18813,827858,SH,DFND,827858,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
8,AKAMAI TECHNOLOGIES INC,COM,00971T101,24227,341010,SH,DFND,341010,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
9,AKAMAI TECHNOLOGIES INC,COM,00971T101,243938,3433565,SH,DFND,3433565,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
10,AKAMAI TECHNOLOGIES INC,COM,00971T101,54221,763194,SH,DFND,763194,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
11,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,14899,178991,SH,DFND,178991,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
12,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,97774,1174598,SH,DFND,1174598,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
13,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,3498,42024,SH,DFND,42024,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
14,AMAZON COM INC,COM,023135106,5924,15920,SH,DFND,15920,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
15,AMAZON COM INC,COM,023135106,93614,251584,SH,DFND,251584,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
16,AMAZON COM INC,COM,023135106,10652,28627,SH,DFND,28627,0,0,2015-03-31,2015Q1,COATUE MANAGEMENT LLC,0001135730
