,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ALASKA AIR GROUP INC,Com,011659109,89631,1128146,SH,SOLE,1128146,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
1,AMAZON COM INC,Com,023135106,10238,20000,SH,SOLE,20000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
2,AMERICAN AIRLS GROUP INC,Com,02376R102,80734,2079167,SH,SOLE,2079167,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
3,BOX INC,Cl A,10316T104,5032,400000,SH,SOLE,400000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
4,CTRIP COM INTL LTD,American DEP SHS,22943F100,55994,886258,SH,SOLE,886258,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
5,DELTA AIR LINES INC DEL,Com New,247361702,34256,763455,SH,SOLE,763455,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
6,DEMANDWARE INC,Com,24802Y105,20672,400000,SH,SOLE,400000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
7,ELONG INC,Sponsored ADR,290138205,8197,481590,SH,SOLE,481590,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
8,EXPEDIA INC DEL,Com New,30212P303,353241,3001707,SH,SOLE,3001707,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
9,HUBSPOT INC,Com,443573100,13814,297902,SH,SOLE,297902,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
10,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,37143,1235208,SH,SOLE,1235208,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
11,ROYAL CARIBBEAN CRUISES LTD,Com,V7780T103,110602,1241469,SH,SOLE,1241469,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
12,TABLEAU SOFTWARE INC,Cl A,87336U105,48237,604621,SH,SOLE,604621,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
13,PRICELINE GRP INC,Com New,741503403,87794,70981,SH,SOLE,70981,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
14,UNITED CONTL HOLDINGS INC,Com,910047109,493365,9300000,SH,SOLE,9300000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
15,WORKDAY INC,Cl A,98138H101,21347,310000,SH,SOLE,310000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
16,ZENDESK INC,Com,98936J101,23652,1200000,SH,SOLE,1200000,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
17,ZILLOW GROUP INC,Cl C CAP STK,98954M200,46403,1718632,SH,SOLE,1718632,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
18,ZILLOW GROUP INC,Cl A,98954M101,23036,801816,SH,SOLE,801816,0,0,2015-09-30,2015Q3,"Altimeter Capital Management, LP",0001541617
