,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AIR PRODS & CHEMS INC,COM,009158106,2296976,20549076,SH,SOLE,20549076,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
1,BEAM INC,COM,073730103,1416910,20818545,SH,SOLE,20818545,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
2,BURGER KING WORLDWIDE INC,COM,121220107,877547,38387865,SH,SOLE,38387865,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
3,CANADIAN PAC RY LTD,COM,13645T100,2596634,17159888,SH,SOLE,17159888,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
4,GENERAL GROWTH PPTYS INC NEW,COM,370023103,554419,27624282,SH,SOLE,27624282,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
5,HOWARD HUGHES CORP,COM,44267D107,428519,3568017,SH,SOLE,3568017,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
6,PROCTER & GAMBLE CO,COM,742718109,60211,739605,SH,SOLE,739605,0,0,2013-12-31,2013Q4,"Pershing Square Capital Management, L.P.",0001336528
