,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3-D SYS CORP DEL,COM NEW,88554D205,67024,3433605,SH,DFND,3433605,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
1,3-D SYS CORP DEL,COM NEW,88554D205,12203,625158,SH,DFND,625158,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
2,58 COM INC,SPON ADR REP A,31680Q104,2165,33802,SH,DFND,33802,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
3,58 COM INC,SPON ADR REP A,31680Q104,27913,435732,SH,DFND,435732,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
4,58 COM INC,SPON ADR REP A,31680Q104,3947,61615,SH,DFND,61615,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
5,ACTIVISION BLIZZARD INC,COM,00507V109,10307,425743,SH,DFND,425743,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
6,ACTIVISION BLIZZARD INC,COM,00507V109,125734,5193493,SH,DFND,5193493,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
7,ACTIVISION BLIZZARD INC,COM,00507V109,19263,795678,SH,DFND,795678,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
8,ADOBE SYS INC,COM,00724F101,10997,135749,SH,DFND,135749,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
9,ADOBE SYS INC,COM,00724F101,126006,1555443,SH,DFND,1555443,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
10,ADOBE SYS INC,COM,00724F101,17643,217794,SH,DFND,217794,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
11,AKAMAI TECHNOLOGIES INC,COM,00971T101,14971,214419,SH,DFND,214419,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
12,AKAMAI TECHNOLOGIES INC,COM,00971T101,192824,2761727,SH,DFND,2761727,0,0,2015-06-30,2015Q2,COATUE MANAGEMENT LLC,0001135730
