,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,3M CO,COM,88579Y101,19406,111951,SH,SOLE,111951,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
1,51JOB INC,SPONSORED ADS,316827104,1692,22417,SH,SOLE,22417,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
2,58 COM INC,SPON ADR REP A,31680Q104,300,4830,SH,SOLE,4830,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
3,ADVANCE AUTO PARTS INC,COM,00751Y106,4814,31233,SH,SOLE,31233,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
4,AGNICO EAGLE MINES LTD,COM,008474108,5600,109071,SH,SOLE,109071,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
5,AKAMAI TECHNOLOGIES INC,COM,00971T101,2694,33614,SH,SOLE,33614,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
6,ALASKA AIR GROUP INC,COM,011659109,1557,24362,SH,SOLE,24362,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
7,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,3388,24010,SH,SOLE,24010,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
8,ALEXION PHARMACEUTICALS INC,COM,015351109,3961,30241,SH,SOLE,30241,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
9,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,53194,313923,SH,SOLE,313923,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
10,ALLIANCE DATA SYSTEMS CORP,COM,018581108,76169,543560,SH,SOLE,543560,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
11,ALPHABET INC,CAP STK CL A,02079K305,8261,7629,SH,SOLE,7629,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
12,ALTRIA GROUP INC,COM,02209S103,7314,154475,SH,SOLE,154475,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
13,AMERISOURCEBERGEN CORP,COM,03073E105,15100,177109,SH,SOLE,177109,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
14,AMPHENOL CORP NEW,CL A,032095101,1841,19190,SH,SOLE,19190,0,0,2019-06-30,2019Q2,"Bridgewater Associates, LP",0001350694
