,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AIG,COM NEW,026874784,93,1700,SH,DFND,1700,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
1,Acacia Reasearch Corp,ACACIA TCH COM,003881307,1537,143640,SH,DFND,143640,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
2,Acacia Reasearch Corp,ACACIA TCH COM,003881307,2377,222180,SH,SOLE,222180,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
3,Aerovironment,COM,008073108,2434,91810,SH,DFND,91810,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
4,Aerovironment,COM,008073108,4557,171900,SH,SOLE,171900,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
5,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,76763,922184,SH,DFND,922184,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
6,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,495448,5952048,SH,SOLE,4933623,0,1018425,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
7,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,89038,1069658,SH,DFND,1069658,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
8,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,1558789,18726441,SH,DFND,8622493,0,10103948,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
9,Alnylam Pharmaceuticals,COM,02043Q107,14652,140320,SH,DFND,140320,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
10,Alnylam Pharmaceuticals,COM,02043Q107,10878,104180,SH,DFND,104180,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
11,Alnylam Pharmaceuticals,COM,02043Q107,81336,778930,SH,SOLE,778930,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
12,Altera Corp,COM,021441100,4830,112554,SH,DFND,112554,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
13,Altera Corp,COM,021441100,805,18762,SH,DFND,18762,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
14,Altera Corp,COM,021441100,5947,138581,SH,DFND,65777,0,72804,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
15,Altria Group,COM,02209S103,19559,391030,SH,DFND,391030,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
16,Altria Group,COM,02209S103,32226,644271,SH,DFND,324701,0,319570,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
17,Altria Group,COM,02209S103,4448,88930,SH,DFND,88930,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
18,Amazon.Com,COM,023135106,102047,274245,SH,DFND,274245,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
19,Amazon.Com,COM,023135106,2421840,6508572,SH,DFND,2879185,0,3629387,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
20,Amazon.Com,COM,023135106,1301922,3498851,SH,SOLE,2568454,0,930397,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
21,Amazon.Com,COM,023135106,275544,740511,SH,DFND,740511,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
22,Amedisys Inc,COM,023436108,344,12829,SH,DFND,12829,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
23,America Movil 'L Shares' ADR,SPON ADR L SHS,02364W105,8440,412500,SH,DFND,412500,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
24,America Movil 'L Shares' ADR,SPON ADR L SHS,02364W105,63668,3111804,SH,DFND,629900,0,2481904,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
25,American Express,COM,025816109,29390,376212,SH,DFND,376212,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
26,American Express,COM,025816109,105624,1352076,SH,SOLE,1196745,0,155331,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
27,American Express,COM,025816109,62179,795944,SH,DFND,795944,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
28,American Express,COM,025816109,148019,1894764,SH,DFND,1363000,0,531764,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
29,Analog Devices,COM,032654105,12884,204515,SH,SOLE,204515,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
30,Analog Devices,COM,032654105,10449,165860,SH,DFND,165860,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
31,Anthem Inc,COM,036752103,439196,2844352,SH,DFND,1950666,0,893686,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
32,Anthem Inc,COM,036752103,91905,595201,SH,DFND,595201,0,0,2015-03-31,2015Q1,BAILLIE GIFFORD & CO,0001088875
