,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,21VIANET GROUP INC,SPONSORED ADR,90138A103,37609,2129600,SH,SOLE,2129600,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
1,58 COM INC,SPON ADR REP A,31680Q104,8600,162634,SH,SOLE,162634,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
2,BONA FILM GROUP LTD,SPONSORED ADS,09777B107,3720,500000,SH,SOLE,500000,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
3,CAMECO CORP,COM,13321L108,14288,1025700,SH,SOLE,1025700,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
4,CHINA LODGING GROUP LTD,SPONSORED ADR,16949N109,4332,219878,SH,SOLE,219878,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
5,CTRIP COM INTL LTD,AMERICAN DEP SHS,22943F100,249700,4259631,SH,SOLE,4259631,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
6,E-COMMERCE CHINA DANGDANG IN,SPN ADS COM A,26833A105,10388,1087724,SH,SOLE,1087724,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
7,JD COM INC,SPON ADR CL A,47215P106,4213141,143401665,SH,SOLE,143401665,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
8,LENDINGCLUB CORP,COM,52603A109,1965,100000,SH,SOLE,100000,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
9,LINKEDIN CORP,COM CL A,53578A108,8895,35600,SH,SOLE,35600,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
10,MINDRAY MEDICAL INTL LTD,SPON ADR,602675100,20586,752701,SH,SOLE,752701,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
11,MOBILEIRON INC,COM NEW,60739U204,10265,1108490,SH,SOLE,1108490,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
12,MOMO INC,ADR,60879B107,57928,5464880,SH,SOLE,5464880,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
13,MONDELEZ INTL INC,CL A,609207105,335691,9301496,SH,SOLE,9301496,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
14,NEW RELIC INC,COM,64829B100,3233,93184,SH,SOLE,93184,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
15,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,235956,5720150,SH,SOLE,5720150,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
16,SALESFORCE COM INC,COM,79466L302,18493,276800,SH,SOLE,276800,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
17,SOHU COM INC,COM,83408W103,88033,1650727,SH,SOLE,1650727,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
18,SOUFUN HLDGS LTD,ADR,836034108,9000,1500000,SH,SOLE,1500000,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
19,TABLEAU SOFTWARE INC,CL A,87336U105,13915,150400,SH,SOLE,150400,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
20,TAL ED GROUP,ADS REPSTG COM,874080104,19896,598920,SH,SOLE,598920,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
21,TRUECAR INC,COM,89785L107,7616,426667,SH,SOLE,426667,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
22,WORKDAY INC,CL A,98138H101,18460,218700,SH,SOLE,218700,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
23,XUNLEI LTD,SPONSORED ADR,98419E108,2567,403041,SH,SOLE,403041,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
24,YOUKU TUDOU INC,SPONSORED ADR,98742U100,78122,6249730,SH,SOLE,6249730,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
25,ZENDESK INC,COM,98936J101,9240,407215,SH,SOLE,407215,0,0,2015-03-31,2015Q1,"Hillhouse Capital Management, Ltd.",0001510589
